side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
L,200.0,1.3406712741069453,4.0,2983.58,11527,11533,2026-01-01 19:00:00,2026-01-02 01:00:00,2983.58,2981.35,-0.075,-6.99,MH,6,0.346,-0.254,0.0,SIDE,0.02243656278698744,0.02243656278698744,0.02243656278698744,-6.967563437213013,29
L,200.0,1.2207515556952637,4.0,3276.67,11651,11658,2026-01-06 23:00:00,2026-01-07 06:00:00,3276.67,3274.77,-0.058,-6.32,MH,7,0.739,-2.929,8.1,MILD_UP,-0.16969234008917589,-0.16969234008917589,-0.16969234008917589,-6.489692340089176,30
L,200.0,2.030663011473246,4.0,1969.8,12530,12537,2026-02-12 14:00:00,2026-02-12 21:00:00,1969.8,1979.84,0.51,16.39,MFE,7,1.579,-0.691,7.1,DOWN,-0.08952040533622317,-0.08952040533622317,-0.08952040533622317,16.300479594663777,31
L,200.0,1.9404194216579915,4.0,2061.41,13637,13640,2026-03-30 17:00:00,2026-03-30 20:00:00,2061.41,2070.4,0.436,13.44,MFE,3,1.241,-0.728,23.2,DOWN,0.0,0.0,0.0,13.44,32
L,200.0,1.8691763474424994,4.0,2139.98,14836,14841,2026-05-19 16:00:00,2026-05-19 21:00:00,2139.98,2117.4,-1.055,-46.21,MH,5,0.022,-1.6,21.2,DOWN,0.0,-0.22748016284637518,0.0,-46.21,33
L,200.0,2.3030993960121835,4.0,1736.79,15487,15490,2026-06-15 19:00:00,2026-06-15 22:00:00,1736.79,1813.3,4.405,172.21,TP,3,5.186,-0.21,20.2,SIDE,0.0,0.0,0.0,172.21,34
L,200.0,2.4351192904062384,4.0,1642.63,15894,15898,2026-07-02 18:00:00,2026-07-02 22:00:00,1642.63,1710.16,4.111,160.44,TP,4,4.338,-0.12,4.0,DOWN,0.0,0.0,0.0,160.44,35
L,200.0,2.33709020583922,4.0,1711.53,15910,15917,2026-07-03 10:00:00,2026-07-03 17:00:00,1711.53,1719.1,0.442,13.69,MFE,7,1.508,-0.948,3.0,DOWN,-0.40127838834259405,-0.40127838834259405,-0.40127838834259405,13.288721611657406,35
L,200.0,2.126426699413638,4.0,1881.09,16195,16203,2026-07-15 07:00:00,2026-07-15 15:00:00,1881.09,1874.82,-0.333,-17.33,BE,8,0.607,-0.945,1.0,MILD_UP,-0.15415081383665855,-0.15415081383665855,-0.15415081383665855,-17.484150813836656,36
L,200.0,2.1108179419525066,4.0,1895.0,16420,16427,2026-07-24 16:00:00,2026-07-24 23:00:00,1895.0,1861.92,-1.746,-73.83,MH,7,0.0,-2.577,19.2,MILD_UP,0.0,-0.07103999999999999,0.0,-73.83,37
L,200.0,1.7495210686074687,4.0,2286.34,17071,17072,2026-08-20 19:00:00,2026-08-20 20:00:00,2286.34,2295.6,0.405,12.2,MFE,1,1.419,-0.215,2.0,MILD_UP,0.0,0.0,0.0,12.2,38
L,200.0,1.5954052329291641,4.0,2507.2,17490,17495,2026-09-07 06:00:00,2026-09-07 11:00:00,2507.2,2510.81,0.144,1.76,MFE,5,1.149,-0.863,23.2,SIDE,-0.2708064132272221,-0.2708064132272221,-0.2708064132272221,1.489193586772778,39
