repeat,net,delta,wr,mdd,n
60,6827.8041511836445,-1098.896902424788,63.30275229357798,311.8211870339901,218
61,5760.383345871953,-2166.31770773648,61.43497757847533,324.10132218906165,223
62,7111.367054842784,-815.3339987656491,61.065573770491795,391.2544686676374,244
63,5899.790330320202,-2026.9107232882307,60.44444444444444,380.93186214474827,225
64,6779.8347056685225,-1146.8663479399102,61.72839506172839,341.7477282312061,243
65,7257.903950194978,-668.7971034134544,61.82572614107884,365.44937778115036,241
66,6867.522512320322,-1059.1785412881109,61.702127659574465,338.0578381243213,235
67,6607.4005517155565,-1319.3005018928761,63.436123348017624,323.27720793512117,227
68,5934.623768430674,-1992.0772851777583,61.60714285714286,359.81199568810916,224
69,6389.65161496082,-1537.049438647613,62.5,428.4393614460141,232
70,5852.619502062421,-2074.0815515460117,60.810810810810814,368.53124739577197,222
71,6514.679359020497,-1412.0216945879356,60.792951541850215,319.77685266349636,227
72,6782.357410174871,-1144.3436434335617,62.5,404.0264987556734,240
73,6476.157362334707,-1450.543691273726,61.904761904761905,370.16498941216923,231
74,6334.657627431891,-1592.0434261765413,61.73913043478261,311.821187033991,230
75,7144.85152291583,-781.8495306926025,64.15929203539822,343.12937778114974,226
76,6440.47456135306,-1486.2264922553722,62.11453744493392,342.75762669398546,227
77,5596.778679329891,-2329.9223742785416,60.60606060606061,435.5099633493237,231
78,6783.802288565265,-1142.8987650431673,61.37339055793991,342.75762669398546,233
79,6810.052368517466,-1116.6486850909669,63.04347826086957,310.4611870339904,230
80,6194.410540189443,-1732.2905134189896,60.68376068376068,335.67019223560874,234
81,6253.349044425486,-1673.3520091829469,60.526315789473685,335.81498941216887,228
82,7244.9450110489,-681.756042559533,62.139917695473244,310.4611870339904,243
83,6317.093130616861,-1609.6079229915713,60.50420168067227,452.32597950981017,238
84,6864.827389832146,-1061.8736637762868,61.572052401746724,311.8211870339901,229
85,6858.693333385426,-1068.0077202230068,62.44541484716157,345.3822648600485,229
86,6438.004336466236,-1488.6967171421966,62.78026905829597,310.4611870339904,223
87,6937.0282370869345,-989.6728165214981,62.33766233766234,356.71185615218474,231
88,5409.052231149485,-2517.6488224589475,60.60606060606061,364.36365421317714,231
89,6251.957862309941,-1674.7431912984912,59.166666666666664,384.30840231284765,240
90,6241.594962642465,-1685.1060909659673,61.471861471861466,404.0264987556734,231
91,6979.467998714634,-947.2330548937989,62.76150627615063,367.75359844295326,239
92,6079.647897931485,-1847.0531556769474,60.36036036036037,375.2594890331693,222
