side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.9840187291368032,4.0,2016.11,4634,4639,2025-03-20 14:00:00,2025-03-20 19:00:00,2016.11,1981.71,1.706,64.25,TP,5,2.272,-0.271,26.3,DOWN,0.06182297414327591,0.06182297414327591,0.06182297414327591,64.31182297414328,25
L,200.0,2.154243860404998,4.0,1856.8,4923,4927,2025-04-01 15:00:00,2025-04-01 19:00:00,1856.8,1872.49,0.845,29.8,MFE,4,1.864,-0.288,4.0,DOWN,-0.11486887725464735,-0.11486887725464735,-0.11486887725464735,29.685131122745354,26
S,200.0,2.1562412402699613,4.0,1855.08,4946,4956,2025-04-02 14:00:00,2025-04-03 00:00:00,1855.08,1900.09,-2.426,-101.05,MH,10,0.237,-3.392,24.2,DOWN,0.17280833721456645,-0.0018089558401804772,0.17280833721456645,-100.87719166278544,26
S,200.0,2.613798240913784,4.0,1530.34,5099,5101,2025-04-08 23:00:00,2025-04-09 01:00:00,1530.34,1486.0,2.897,111.9,TP,2,3.208,-0.531,26.3,DOWN,-0.05718054314727447,-0.05718054314727447,-0.05718054314727447,111.84281945685274,27
L,200.0,2.577336194176509,4.0,1551.99,5164,5165,2025-04-11 16:00:00,2025-04-11 17:00:00,1551.99,1550.79,-0.077,-7.09,MFE,1,1.31,-1.0,6.1,DOWN,0.0,0.0,0.23428000000000002,-7.09,28
L,200.0,2.4276116549635556,4.0,1647.71,5262,5267,2025-04-15 18:00:00,2025-04-15 23:00:00,1647.71,1619.57,-1.708,-72.31,MH,5,0.787,-2.895,0.0,DOWN,0.0,0.0,0.0,-72.31,29
L,200.0,2.502674733621558,4.0,1598.29,5306,5312,2025-04-17 14:00:00,2025-04-17 20:00:00,1598.29,1592.5,-0.362,-18.49,MH,6,0.726,-0.663,2.0,DOWN,-0.20771029437711555,-0.20771029437711555,-0.20771029437711555,-18.697710294377114,30
L,200.0,2.5158973262301165,4.0,1589.89,5336,5343,2025-04-18 20:00:00,2025-04-19 03:00:00,1589.89,1592.72,0.178,3.12,BE,7,0.424,-0.776,23.2,SIDE,0.05939702858873406,0.05939702858873406,0.05939702858873406,3.1793970285887343,31
L,200.0,2.4355937673155497,4.0,1642.31,5434,5436,2025-04-22 22:00:00,2025-04-23 00:00:00,1642.31,1702.41,3.659,142.38,TP,2,5.092,-0.315,22.2,SIDE,-0.33599588129401886,-0.33599588129401886,0.0,142.04400411870597,32
S,200.0,2.249212775528565,4.0,1778.4,5471,5477,2025-04-24 11:00:00,2025-04-24 17:00:00,1778.4,1733.8,2.508,96.31,TP,6,3.215,-0.678,0.0,MILD_UP,0.2854544464687359,0.2854544464687359,0.2854544464687359,96.59545444646874,33
L,200.0,2.170138888888889,4.0,1843.2,5790,5796,2025-05-07 18:00:00,2025-05-08 00:00:00,1843.2,1816.73,-1.436,-61.44,MH,6,0.179,-1.619,2.0,SIDE,0.025547765624999996,0.0,0.025547765624999996,-61.414452234375,34
S,200.0,1.6107015007711234,4.0,2483.39,6105,6115,2025-05-20 21:00:00,2025-05-21 07:00:00,2483.39,2515.34,-1.287,-55.46,MH,10,1.812,-1.716,24.2,MILD_UP,0.04692236982511809,0.04692236982511809,0.04692236982511809,-55.41307763017488,35
L,200.0,1.5183665412748966,4.0,2634.41,6148,6150,2025-05-22 16:00:00,2025-05-22 18:00:00,2634.41,2664.36,1.137,41.48,MFE,2,2.209,-0.304,16.2,SIDE,0.0,-0.3999104163740649,0.0,41.48,36
L,200.0,1.4954389113204725,4.0,2674.8,6166,6167,2025-05-23 10:00:00,2025-05-23 11:00:00,2674.8,2704.83,1.123,40.91,MFE,1,2.224,-0.133,24.2,SIDE,0.0,0.0,0.0,40.91,36
S,200.0,1.5137409837802653,4.0,2642.46,6324,6333,2025-05-30 00:00:00,2025-05-30 09:00:00,2642.46,2572.24,2.657,102.29,TP,9,3.272,-1.15,27.3,MILD_UP,0.29773444623312856,0.29773444623312856,0.6305731866492559,102.58773444623313,37
L,200.0,1.4424862693338238,4.0,2772.99,6608,6613,2025-06-10 20:00:00,2025-06-11 01:00:00,2772.99,2729.74,-1.56,-66.39,MH,5,0.199,-3.046,21.2,SIDE,-0.394062726515422,-0.394062726515422,-0.394062726515422,-66.78406272651543,38
L,200.0,1.4377163313792372,4.0,2782.19,7319,7324,2025-07-10 11:00:00,2025-07-10 16:00:00,2782.19,2789.54,0.264,6.57,MFE,5,1.439,-0.638,8.1,MILD_UP,-0.1126254680487242,-0.1126254680487242,0.0,6.457374531951276,39
L,200.0,1.3316022504078031,4.0,3003.9,7346,7350,2025-07-11 14:00:00,2025-07-11 18:00:00,3003.9,3014.86,0.365,10.59,MFE,4,1.233,-1.444,7.1,MILD_UP,-0.39526615399980025,-0.39526615399980025,-0.39526615399980025,10.194733846000199,40
S,200.0,1.1067701127798746,4.0,3614.12,7679,7687,2025-07-25 11:00:00,2025-07-25 19:00:00,3614.12,3718.2,-2.88,-119.19,MH,8,1.217,-3.661,9.1,UP,0.4019420623864178,0.4019420623864178,0.4019420623864178,-118.78805793761359,41
L,200.0,1.045005786719544,4.0,3827.73,7779,7783,2025-07-29 15:00:00,2025-07-29 19:00:00,3827.73,3828.72,0.026,-2.97,MFE,4,1.507,-0.124,15.2,MILD_UP,-0.4050996282391914,-0.4050996282391914,-0.4050996282391914,-3.3750996282391914,42
L,200.0,1.0360037192533522,4.0,3860.99,7823,7831,2025-07-31 11:00:00,2025-07-31 19:00:00,3860.99,3853.74,-0.188,-11.51,BE,8,0.441,-0.254,4.0,MILD_UP,-0.4001364280373687,-0.4001364280373687,-0.4001364280373687,-11.910136428037369,43
L,200.0,1.0997500817939123,4.0,3637.19,7970,7976,2025-08-06 14:00:00,2025-08-06 20:00:00,3637.19,3618.16,-0.523,-24.93,MH,6,0.297,-0.803,13.1,DOWN,-0.3281091172031156,-0.3281091172031156,-0.3281091172031156,-25.258109117203116,44
L,200.0,1.0807889759524454,4.0,3701.0,7996,8001,2025-08-07 16:00:00,2025-08-07 21:00:00,3701.0,3848.47,3.985,155.38,TP,5,4.026,-0.003,17.2,DOWN,0.0,-0.17140000000000002,0.0,155.38,45
L,200.0,1.0002625689243427,4.0,3998.95,8026,8033,2025-08-08 22:00:00,2025-08-09 05:00:00,3998.95,4056.82,1.447,53.89,MHx,7,1.777,-1.849,5.1,DOWN,-0.3954043585091087,-0.3954043585091087,-0.3954043585091087,53.49459564149089,46
S,200.0,0.9147436088007482,4.0,4372.81,8666,8677,2025-09-04 14:00:00,2025-09-05 01:00:00,4372.81,4294.64,1.788,67.51,TP,11,2.046,-1.354,26.3,DOWN,-0.17987933882608392,-0.17987933882608392,-0.17987933882608392,67.33012066117392,47
L,200.0,0.9060022650056625,4.0,4415.0,8692,8698,2025-09-05 16:00:00,2025-09-05 22:00:00,4415.0,4441.23,0.594,19.76,MFE,6,1.8,-1.008,23.2,DOWN,0.0,0.0,0.1382511639840413,19.76,48
L,200.0,0.9237853954147911,4.0,4330.01,8813,8819,2025-09-10 17:00:00,2025-09-10 23:00:00,4330.01,4399.42,1.603,60.12,MFE,6,2.853,-0.564,21.2,DOWN,0.0,0.0,0.0,60.12,49
L,200.0,0.9055387276275337,4.0,4417.26,8834,8841,2025-09-11 14:00:00,2025-09-11 21:00:00,4417.26,4424.45,0.163,2.51,MFE,7,1.498,-2.001,14.1,SIDE,-0.4019686411938623,-0.4019686411938623,-0.4019686411938623,2.1080313588061377,49
S,200.0,0.8796119152230036,4.0,4547.46,9024,9036,2025-09-19 12:00:00,2025-09-20 00:00:00,4547.46,4472.29,1.653,62.12,TP,12,2.312,-0.211,16.2,MILD_UP,-0.20617034920594407,-0.20617034920594407,-0.03607565566632731,61.91382965079406,50
L,200.0,0.9542508296018148,4.0,4191.77,9155,9161,2025-09-24 23:00:00,2025-09-25 05:00:00,4191.77,4163.06,-0.685,-31.4,MH,6,0.1,-1.097,22.2,DOWN,0.14367522034844468,0.14367522034844468,0.14367522034844468,-31.256324779651553,51
L,200.0,0.9324031058347456,4.0,4289.99,9317,9325,2025-10-01 17:00:00,2025-10-02 01:00:00,4289.99,4322.64,0.761,26.44,MHx,8,1.242,-0.321,9.1,DOWN,0.03000293651034152,0.03000293651034152,0.03000293651034152,26.470002936510344,52
