side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.2093360744951023,4.0,3307.6,2931,2941,2025-01-08 15:00:00,2025-01-09 01:00:00,3307.6,3313.17,-0.168,-10.74,MH,10,0.033,-2.337,23.2,MILD_UP,0.8101949339811344,0.8101949339811344,0.8101949339811344,-9.929805066018865,9
S,200.0,1.4561869744075138,4.0,2746.9,3635,3636,2025-02-06 23:00:00,2025-02-07 00:00:00,2746.9,2704.25,1.553,58.11,TP,1,2.424,-0.461,20.2,DOWN,-0.30508328457533945,-0.30508328457533945,0.0,57.80491671542466,10
S,200.0,1.5192892764764643,4.0,2632.81,3754,3763,2025-02-11 22:00:00,2025-02-12 07:00:00,2632.81,2584.89,1.82,68.8,TP,9,3.036,-1.651,19.2,DOWN,-0.0499772504662319,-0.0499772504662319,-0.0499772504662319,68.75002274953377,11
S,200.0,1.475334255417243,4.0,2711.25,3972,3982,2025-02-21 00:00:00,2025-02-21 10:00:00,2711.25,2740.31,-1.072,-46.87,MH,10,0.207,-2.077,31.3,MILD_UP,0.14431090279391426,0.14431090279391426,0.4004806643430152,-46.725689097206086,12
S,200.0,1.733477789815818,4.0,2307.5,4139,4145,2025-02-27 23:00:00,2025-02-28 05:00:00,2307.5,2255.1,2.271,86.83,TP,6,2.962,-1.277,14.1,DOWN,0.20239450556049976,0.20239450556049976,0.20239450556049976,87.0323945055605,13
S,200.0,1.9840187291368032,4.0,2016.11,4634,4639,2025-03-20 14:00:00,2025-03-20 19:00:00,2016.11,1981.71,1.706,64.25,TP,5,2.272,-0.271,26.3,DOWN,0.06182297414327591,0.06182297414327591,0.06182297414327591,64.31182297414328,14
S,200.0,2.1562412402699613,4.0,1855.08,4946,4956,2025-04-02 14:00:00,2025-04-03 00:00:00,1855.08,1900.09,-2.426,-101.05,MH,10,0.237,-3.392,24.2,DOWN,0.17280833721456645,-0.0018089558401804772,0.17280833721456645,-100.87719166278544,15
S,200.0,2.613798240913784,4.0,1530.34,5099,5101,2025-04-08 23:00:00,2025-04-09 01:00:00,1530.34,1486.0,2.897,111.9,TP,2,3.208,-0.531,26.3,DOWN,-0.05718054314727447,-0.05718054314727447,-0.05718054314727447,111.84281945685274,16
S,200.0,2.249212775528565,4.0,1778.4,5471,5477,2025-04-24 11:00:00,2025-04-24 17:00:00,1778.4,1733.8,2.508,96.31,TP,6,3.215,-0.678,0.0,MILD_UP,0.2854544464687359,0.2854544464687359,0.2854544464687359,96.59545444646874,17
S,200.0,1.6107015007711234,4.0,2483.39,6105,6115,2025-05-20 21:00:00,2025-05-21 07:00:00,2483.39,2515.34,-1.287,-55.46,MH,10,1.812,-1.716,24.2,MILD_UP,0.04692236982511809,0.04692236982511809,0.04692236982511809,-55.41307763017488,18
S,200.0,1.5137409837802653,4.0,2642.46,6324,6333,2025-05-30 00:00:00,2025-05-30 09:00:00,2642.46,2572.24,2.657,102.29,TP,9,3.272,-1.15,27.3,MILD_UP,0.29773444623312856,0.29773444623312856,0.6305731866492559,102.58773444623313,19
S,200.0,1.1067701127798746,4.0,3614.12,7679,7687,2025-07-25 11:00:00,2025-07-25 19:00:00,3614.12,3718.2,-2.88,-119.19,MH,8,1.217,-3.661,9.1,UP,0.4019420623864178,0.4019420623864178,0.4019420623864178,-118.78805793761359,20
S,200.0,0.9147436088007482,4.0,4372.81,8666,8677,2025-09-04 14:00:00,2025-09-05 01:00:00,4372.81,4294.64,1.788,67.51,TP,11,2.046,-1.354,26.3,DOWN,-0.17987933882608392,-0.17987933882608392,-0.17987933882608392,67.33012066117392,21
S,200.0,0.8796119152230036,4.0,4547.46,9024,9036,2025-09-19 12:00:00,2025-09-20 00:00:00,4547.46,4472.29,1.653,62.12,TP,12,2.312,-0.211,16.2,MILD_UP,-0.20617034920594407,-0.20617034920594407,-0.03607565566632731,61.91382965079406,22
S,200.0,0.9350797506142305,4.0,4277.71,9539,9540,2025-10-10 23:00:00,2025-10-11 00:00:00,4277.71,4100.48,4.143,161.72,TP,1,4.915,-0.086,15.2,MILD_UP,-0.197350176239156,-0.197350176239156,0.0,161.52264982376084,23
S,200.0,0.9831536620016026,4.0,4068.54,9626,9627,2025-10-14 14:00:00,2025-10-14 15:00:00,4068.54,4001.62,1.645,61.79,TP,1,2.56,-0.535,29.3,DOWN,0.0,0.0,0.0,61.79,24
S,200.0,0.9770347970942985,4.0,4094.02,9959,9969,2025-10-28 11:00:00,2025-10-28 21:00:00,4094.02,4120.0,-0.635,-29.38,MH,10,0.726,-0.988,23.2,MILD_UP,0.18557764336167237,0.18557764336167237,0.18557764336167237,-29.194422356638327,25
S,200.0,1.0483114323603255,4.0,3815.66,10017,10022,2025-10-30 21:00:00,2025-10-31 02:00:00,3815.66,3769.66,1.206,44.22,TP,5,2.35,-0.507,12.1,MILD_UP,-0.25282134794940553,-0.25282134794940553,-0.25282134794940553,43.96717865205059,26
S,200.0,1.181502398449869,4.0,3385.52,10356,10358,2025-11-14 00:00:00,2025-11-14 02:00:00,3385.52,3254.4,3.873,150.92,TP,2,3.944,-0.367,33.3,DOWN,0.0,0.0,0.0928553938968949,150.92,27
S,200.0,1.326119244642478,4.0,3016.32,10490,10501,2025-11-19 14:00:00,2025-11-20 01:00:00,3016.32,2948.87,2.236,85.45,TP,11,2.695,-3.204,19.2,DOWN,0.4014001074663037,0.4014001074663037,0.4014001074663037,85.8514001074663,28
S,200.0,1.3538532355400013,4.0,2954.53,10524,10525,2025-11-21 00:00:00,2025-11-21 01:00:00,2954.53,2861.21,3.159,122.34,TP,1,3.673,-0.189,22.2,DOWN,0.0,0.0,0.2715190810044237,122.34,29
S,200.0,1.2911805909733565,4.0,3097.94,10882,10885,2025-12-05 22:00:00,2025-12-06 01:00:00,3097.94,3031.69,2.139,81.54,TP,3,3.261,-1.906,34.3,MILD_UP,0.1958286109124613,0.1958286109124613,0.1958286109124613,81.73582861091246,30
S,200.0,1.2665602756035161,4.0,3158.16,11027,11037,2025-12-11 23:00:00,2025-12-12 09:00:00,3158.16,3187.61,-0.933,-41.3,MH,10,0.155,-3.618,0.0,MILD_UP,0.0951403301067214,0.0951403301067214,0.0951403301067214,-41.204859669893274,31
S,200.0,1.3029315960912051,4.0,3070.0,11052,11062,2025-12-13 00:00:00,2025-12-13 10:00:00,3070.0,3083.19,-0.43,-21.19,MH,10,0.941,-0.921,11.1,MILD_UP,0.004298597785016287,-0.005147872022423971,0.004298597785016287,-21.185701402214985,32
S,200.0,1.2258507404138472,4.0,3263.04,11892,11902,2026-01-17 00:00:00,2026-01-17 10:00:00,3263.04,3289.26,-0.804,-36.14,MH,10,0.154,-1.098,4.0,MILD_UP,0.3380877953074434,0.3380877953074434,0.44876813450034325,-35.801912204692556,33
S,200.0,1.2549767672425964,4.0,3187.31,11971,11979,2026-01-20 07:00:00,2026-01-20 15:00:00,3187.31,3115.2,2.262,86.5,TP,8,2.53,-0.39,11.1,MILD_UP,0.3445333700403803,0.3445333700403803,0.3445333700403803,86.84453337004038,34
