repeat,net,delta,wr,mdd,n
36,6298.718960587331,-1627.9820930211017,62.24066390041494,342.384117922923,241
37,6698.672754914907,-1228.0282986935254,62.601626016260155,396.5912669684035,246
38,6233.04542151549,-1693.655632092943,61.15702479338842,375.2978252910252,242
39,6403.236556757574,-1523.4644968508583,62.34309623430963,380.104260716148,239
40,6013.373346398066,-1913.3277072103665,61.82572614107884,449.5900160057927,241
41,6169.278743733595,-1757.422309874838,62.60504201680672,382.1325130462019,238
42,6671.869804738014,-1254.8312488704187,63.59832635983263,360.50076417001674,239
43,6425.418694695245,-1501.2823589131876,61.25000000000001,402.34673600049155,240
44,6882.6412552923985,-1044.0597983160342,63.59832635983263,377.112372889108,239
45,6543.647302659412,-1383.0537509490205,63.114754098360656,433.7818912424,244
46,6435.667908755819,-1491.033144852614,61.82572614107884,380.3196063856676,241
47,6278.160849689803,-1648.5402039186292,62.0253164556962,383.4986162461887,237
48,6302.098483741701,-1624.6025698667318,61.34453781512605,368.5312473957729,238
49,5897.945475994196,-2028.7555776142362,60.94420600858369,368.53124739577197,233
50,6668.369182969341,-1258.331870639092,63.17991631799163,360.5007641700158,239
51,6350.394067703031,-1576.3069859054012,62.39316239316239,370.02055803739677,234
52,6760.263207252995,-1166.4378463554376,63.52459016393443,368.53124739577197,244
53,6744.048956480952,-1182.6520971274804,62.704918032786885,353.6000748352444,244
54,7181.345736987767,-745.3553166206657,63.40425531914894,355.0893854768683,235
55,6174.863684773086,-1751.8373688353468,61.25000000000001,367.8910930106372,240
56,6102.8624138953855,-1823.838639713047,61.15702479338842,349.5655649200662,242
57,7252.40613497475,-674.2949186336828,64.19753086419753,367.8910930106367,243
58,6959.908937068211,-966.7921165402213,64.01673640167364,382.2560775157963,239
59,6502.034359097548,-1424.6666945108846,61.440677966101696,398.0871530760842,236
60,7274.009751150537,-652.6913024578953,62.601626016260155,368.53124739577197,246
61,6805.432759951518,-1121.2682936569145,63.63636363636363,399.26092495962166,242
62,6847.801814230533,-1078.8992393779,62.96296296296296,368.53124739577197,243
63,6788.039796141467,-1138.6612574669653,62.60504201680672,408.713884493804,238
64,6894.215637510172,-1032.4854160982604,62.295081967213115,325.76209216474854,244
65,6799.406392630817,-1127.2946609776154,63.78600823045267,368.53124739577197,243
66,6659.186638469449,-1267.514415138984,62.083333333333336,366.5611861005382,240
67,6426.157379791501,-1500.543673816932,62.655601659751035,347.3571536222389,241
68,6308.549521461808,-1618.151532146625,62.916666666666664,324.0609301470631,240
69,6159.195008012201,-1767.506045596232,61.50627615062761,361.14091855515244,239
70,5727.426294828962,-2199.27475877947,61.76470588235294,323.42077576192787,238
71,6818.102087640865,-1108.598965967568,63.07053941908713,370.0205580373977,241
72,5614.654950273744,-2312.0461033346883,59.91379310344828,361.14091855515244,232
73,6265.014144685815,-1661.6869089226175,62.34309623430963,368.5312473957729,239
74,7324.308497290826,-602.3925563176062,63.78600823045267,429.8298837181992,243
75,6320.196484361642,-1606.5045692467902,63.40425531914894,433.78189124240134,235
76,6039.297862512953,-1887.40319109548,60.94420600858369,375.93797967616183,233
77,5946.83829767856,-1979.862755929873,60.75949367088608,492.1565195127123,237
78,6063.8546061975485,-1862.8464474108841,61.66666666666667,464.27182368782724,240
79,6775.150507985224,-1151.5505456232086,63.22314049586777,426.98060084150893,242
80,6451.85569887883,-1474.845354729603,62.60504201680672,374.8617574974455,238
81,5709.670165923354,-2217.0308876850786,61.016949152542374,367.20134048567434,236
82,6625.698775685568,-1301.0022779228648,61.82572614107884,356.6228477858772,241
83,6386.974934651204,-1539.7261189572282,62.8099173553719,361.140918555152,242
84,6012.66755093839,-1914.0335026700423,61.92468619246861,381.4923586610662,239
85,6487.13482747982,-1439.5662261286125,62.24066390041494,353.6000748352444,241
86,6876.3667235137,-1050.3343300947326,64.01673640167364,370.02055803739677,239
87,6339.666667266972,-1587.034386341461,63.0901287553648,368.5312473957729,233
88,7021.078358612542,-905.6226949958909,64.01673640167364,386.7726101192238,239
89,7055.511295758752,-871.189757849681,63.59832635983263,368.53124739577197,239
90,6976.564441007842,-950.1366126005905,64.28571428571429,397.9799790377074,238
91,6405.146956031776,-1521.5540975766562,63.29113924050633,324.0609301470631,237
92,7398.503394560238,-528.1976590481945,62.655601659751035,355.0893854768683,241
93,5173.5260532808825,-2753.17500032755,59.401709401709404,456.8883869518436,234
94,6908.414989371846,-1018.2860642365868,64.28571428571429,325.7620921647476,238
95,6916.311356733068,-1010.3896968753643,63.17991631799163,353.6000748352444,239
96,6121.292793698375,-1805.4082599100575,62.71186440677966,358.5517482705768,236
97,5474.79758903564,-2451.9034645727925,60.68376068376068,361.14091855515244,234
98,6043.654876916507,-1883.0461766919252,60.08230452674898,379.6794520005328,243
99,6995.610948221956,-931.0901053864764,63.78600823045267,350.2057193052033,243
