name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous
oi_both,2,True,193,5398.875609327708,5398.875609327704,-9.614390672294345,2.771977905792519,64.76683937823834,287.0962004229541,-227.76698339486302,50,-2624.0065232829184,1,-167.99400504668492,1136,27.973448752993285,67.56546503771517,-44.8059929468631,25.906735751295336,-105.7207897826316,1132,6.4615560248872645,1136,2
oi_long,2,True,238,6799.981168681625,6799.981168681623,-3.458831318377754,2.7401256415961828,63.4453781512605,344.8892940674523,-278.8261160604625,67,-3475.384418255609,1,-167.99400504668492,1473,28.571349448242113,70.91214670725901,-44.916700966833204,28.15126050420168,-108.92141364445257,1468,8.379473714253097,1473,2
oi_short,2,True,225,6151.864587354024,6151.8645873540245,-14.365412645975296,2.725750376608667,63.55555555555556,396.3582922820708,-275.88883606556647,60,-2922.3399077267836,2,-167.99400504668492,1305,27.34162038824011,67.94833727492708,-43.472532231226204,26.666666666666668,-108.1311504811418,1299,7.414806781208973,1305,2
base,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632,25.846321149874377,69.91410993711392,-44.31986682204103,29.213483146067414,-113.74933149933725,1624,9.269935498601518,1632,2
oi_quality,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632,25.846321149874377,69.91410993711392,-44.31986682204103,29.213483146067414,-113.74933149933725,1624,9.269935498601518,1632,2
oi_both,5,True,193,4911.613739229511,4911.61373922951,-9.606260770489195,2.518889015490734,63.212435233160626,308.6302725432279,-247.9285367253451,50,-2753.6140694590704,1,-168.31398223679395,1146,25.448775850930105,66.76477135753461,-45.54490656886919,25.906735751295336,-108.38177062385887,1142,6.518636908499344,1146,2
oi_long,5,True,238,6179.8411569648315,6179.841156964829,-3.4488430351709702,2.48986411523779,62.18487394957983,361.71165912430797,-311.8271770305864,67,-3653.480955295685,1,-168.31398223679395,1482,25.965719146911045,69.7821881023479,-46.08802980202956,28.15126050420168,-111.95051779884967,1477,8.430846509503967,1482,2
oi_short,5,True,223,5683.113202795696,5683.113202795696,-13.956797204303415,2.553236969286763,62.33183856502242,399.7314833725968,-308.1693442096657,61,-3027.7338897586733,2,-168.31398223679395,1305,25.484812568590566,67.20860976300783,-43.558137550742764,27.3542600896861,-110.67695883807191,1299,7.414806781208973,1305,2
premium_quality,0,False,268,7851.221053608433,7851.221053608431,-7.3889463915683145,2.970718844576216,63.059701492537314,368.53124739577197,-296.1102480460622,75,-3330.5362822248544,2,-167.78402024567558,1627,29.295600946300116,70.03052502696274,-40.24179470654819,27.98507462686567,-100.55641096308288,1618,9.23568696843427,1627,2
premium_both,0,False,220,5569.602242459512,5569.602242459512,-6.33775754048761,2.5005212996123274,60.45454545454545,389.90540464800074,-324.5842607449083,59,-2612.2745733433458,4,-167.78402024567558,1358,25.316373829361417,69.7848153263869,-42.664117194826964,26.818181818181817,-119.48464425716284,1353,7.723043552714196,1358,2
premium_long,0,False,243,7266.02365472204,7266.023654722038,-4.5263452779613385,2.9834595595276894,60.49382716049383,368.5312473957729,-305.98256147034135,71,-3105.152175237085,1,-167.78402024567558,1501,29.901331912436373,74.34919624239,-38.15946034280511,29.218106995884774,-95.79539812467326,1493,8.522175923283292,1501,2
premium_short,0,False,243,6267.374592690192,6267.374592690193,-8.935407309806585,2.612502594803505,63.37448559670782,393.5060911497735,-260.3083358413701,63,-2837.6586803311156,4,-167.78402024567558,1475,25.79166499049462,65.93579397194232,-43.67120987628005,25.925925925925927,-114.76638408997388,1470,8.390889890975513,1475,2
premium_level,0,False,168,4565.659453397558,4565.65945339756,-6.450546602440122,2.642433189783307,61.30952380952381,334.6726848912833,-307.1568125210272,46,-2078.6800457272243,3,-167.78402024567558,1037,27.17654436546167,71.31528025657283,-42.76637558506835,27.38095238095238,-110.72285563737773,1033,5.89645527712769,1037,2
premium_change,0,False,191,4558.388499319952,4558.38849931995,-3.7515006800495216,2.3795695499483625,58.63874345549738,389.90540464800074,-235.32473080668774,54,-2535.815779145211,2,-169.89386723817032,1166,23.865908373402878,70.20177876590053,-41.825452183049485,28.272251308900522,-110.43060307270757,1165,6.649922940807124,1166,2
premium_quality,2,False,268,7510.622535028698,7510.622535028697,-7.277464971303248,2.830651369964653,62.31343283582089,381.2718771909613,-308.4193224269875,77,-3460.782690566977,2,-167.99400504668492,1629,28.024710951599616,69.54088346362413,-40.62084161778744,28.73134328358209,-101.96210962881503,1620,9.247103145156688,1629,2
premium_both,2,False,218,5387.817572845586,5387.817572845584,-5.732427154415266,2.4457996206358352,60.09174311926605,399.69697006005254,-338.2410497095775,61,-2717.0131384044844,4,-167.99400504668492,1357,24.714759508465985,69.57518240979229,-42.833693365944875,27.98165137614679,-119.01732128860385,1352,7.717335464352988,1357,2
premium_long,2,False,241,7004.172345884995,7004.172345884994,-4.017654115006064,2.8736510044232624,60.58091286307054,381.2718771909613,-319.88744792768375,72,-3206.3428146095775,1,-167.99400504668492,1497,29.062955792053916,73.57822237296348,-39.34998021650183,29.87551867219917,-97.29384529616863,1489,8.49934356983846,1497,2
premium_short,2,False,243,6008.662660353903,6008.6626603539025,-8.727339646097372,2.523062769506915,62.139917695473244,436.0057355926713,-272.1464872714364,66,-2971.453014361884,4,-167.99400504668492,1480,24.72700683273211,65.91907858291366,-42.88171962680501,27.160493827160494,-114.15072553680474,1475,8.41943033278155,1480,2
premium_level,2,False,167,4341.905099670313,4341.905099670311,-6.244900329689188,2.5051466998482605,61.07784431137725,340.414954607284,-319.1736401942235,47,-2169.353700682352,3,-167.99400504668492,1044,25.99943173455276,70.84912441405586,-44.3800860086675,28.143712574850298,-111.85618212050161,1040,5.9364118956561445,1044,2
premium_change,2,False,190,4355.102573663935,4355.102573663932,-3.147426336067468,2.305586476604225,57.89473684210527,399.6969700600523,-267.18983642941726,57,-2659.364657503073,2,-170.09385200857201,1170,22.921592492968063,69.91678924652668,-41.696803043175,30.0,-110.03055901511432,1169,6.672755294251955,1170,2
premium_quality,5,False,266,6947.332180315112,6947.332180315107,-6.867819684892544,2.6410878093353065,61.278195488721806,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1628,26.117790151560552,68.59326596004739,-41.10068127352058,29.32330827067669,-104.06922905650949,1620,9.247103145156688,1628,2
premium_both,5,False,218,4900.573123629462,4900.573123629463,-5.786876370536197,2.2585909930435553,59.63302752293578,414.34933448026754,-358.74063813613407,63,-2880.5024279127197,4,-168.31398223679395,1364,22.47969322765809,67.64823874755238,-44.24656719945847,28.89908256880734,-120.66092464874768,1359,7.757292082881443,1364,2
premium_long,5,False,241,6448.578263208875,6448.57826320887,-4.071736791129388,2.6403818582779004,60.16597510373444,409.28630189510204,-354.6259475582119,74,-3396.4818188780546,1,-168.31398223679395,1505,26.757586154393653,71.5842955204758,-40.94942278395961,30.70539419087137,-99.54074682136778,1497,8.545008276728124,1505,2
premium_short,5,False,241,5516.431859670521,5516.431859670522,-8.318140329478762,2.362161485016055,60.99585062240664,422.50899733224196,-304.4256800532171,67,-3077.1994831991365,4,-168.31398223679395,1478,22.889758753819592,65.0761588920773,-43.08259039856215,27.800829875518673,-115.91068898936804,1473,8.408014156059137,1478,2
premium_level,5,False,164,3686.0371117744235,3686.0371117744253,-6.222888225575101,2.244968935362294,60.97560975609756,351.8248822445671,-337.22328683247633,50,-2305.2813788537896,3,-168.31398223679395,1028,22.475836047405032,66.46783365817915,-46.261660219429544,30.48780487804878,-113.5583940731677,1024,5.84508248187682,1028,2
premium_change,5,False,189,4041.79897092237,4041.7989709223693,-3.6110290776305725,2.191403468740237,57.67195767195767,414.34933448026754,-270.99019321435253,58,-2715.3916867388252,2,-170.4138291527467,1165,21.385179740329995,68.20429051387093,-42.40585868861952,30.687830687830687,-110.3830227927587,1164,6.644214852445916,1165,2
premium_quality,0,True,268,7794.165330759004,7794.165330759002,-8.504669240997945,2.8187598891821293,63.059701492537314,393.7191407811524,-328.9853117125931,75,-3623.2799577435007,2,-167.78402024567558,1627,29.082706458055977,71.4768861398393,-43.28715582700844,27.98507462686567,-108.95155406897497,1618,9.23568696843427,1627,2
premium_both,0,True,220,5604.964111897529,5604.964111897529,-7.685888102472227,2.4295509585734383,60.45454545454545,389.90540464800074,-324.5842607449083,59,-2821.282886109936,4,-167.78402024567558,1358,25.47710959953422,71.62218511739897,-45.06651159444293,26.818181818181817,-126.02946912171274,1353,7.723043552714196,1358,2
premium_long,0,True,243,7206.460488472125,7206.460488472124,-5.56951152787671,2.8164914874315343,60.49382716049383,427.9964884002702,-402.4940048190847,71,-3409.0855236916054,1,-167.78402024567558,1501,29.656216001942898,76.01157843425806,-41.32543272253971,29.218106995884774,-104.56310450160173,1493,8.522175923283292,1501,2
premium_short,0,True,243,6305.243905528694,6305.243905528694,-10.356094471305461,2.540380298812443,63.37448559670782,393.5060911497735,-260.3083358413701,63,-3035.477320161831,4,-167.78402024567558,1475,25.9475057840687,67.52303441399515,-45.99217296883774,25.925925925925927,-122.05657827266656,1470,8.390889890975513,1475,2
