repeat,net,delta,wr,mdd,n
44,4838.767572895652,-3087.9334807127807,60.51282051282051,381.72279016149224,195
45,5038.721614742817,-2887.9794388656155,59.78835978835979,341.0266325928135,189
46,5022.947604380256,-2903.7534492281766,60.62176165803109,364.1495277399943,193
47,6236.358767983984,-1690.3422856244488,63.67924528301887,321.81463360028465,212
48,4548.153059876135,-3378.547993732298,56.14973262032086,331.7092705470991,187
49,4295.04580835776,-3631.655245250673,61.111111111111114,442.36301673573644,198
50,4990.137357636483,-2936.5636959719495,57.345971563981045,445.1221913246902,211
51,5446.643740634009,-2480.0573129744234,62.05128205128205,412.0494282809809,195
52,4182.014335880312,-3744.686717728121,57.14285714285714,429.03506589172275,203
53,4464.182770512691,-3462.518283095742,59.70149253731343,564.444615140841,201
54,4742.987746176326,-3183.7133074321064,59.42028985507246,390.1458112533255,207
55,5197.58332483765,-2729.1177287707824,59.4059405940594,319.55089026826954,202
56,5817.640027157415,-2109.061026451018,61.97183098591549,400.5555906981335,213
57,5294.707839244255,-2631.993214364177,63.63636363636363,313.8021434961993,187
58,4705.492352797301,-3221.208700811132,61.30653266331658,342.75762669398523,199
59,5311.3975899172965,-2615.303463691136,59.90338164251207,308.7899946398768,207
60,5872.817711695925,-2053.8833419125076,60.952380952380956,341.82328246541624,210
61,6223.563878518524,-1703.1371750899089,63.13131313131313,437.2455201142275,198
62,4133.775241905215,-3792.9258117032177,57.286432160804026,384.8675252854641,199
63,4445.989290873079,-3480.7117627353537,61.578947368421055,385.0886220815196,190
64,3873.351974632069,-4053.3490789763637,55.154639175257735,503.31366493499377,194
65,5350.988115960924,-2575.7129376475086,60.69651741293532,353.67385739023075,201
66,4516.844776899681,-3409.8562767087515,57.49999999999999,415.5152629051868,200
67,3987.0122911897515,-3939.688762418681,58.97435897435898,329.38006884268,195
68,3140.4677654740253,-4786.233288134407,59.78260869565217,445.2987111536513,184
69,5846.689732515603,-2080.0113210928293,60.76555023923444,387.4380220320204,209
70,3745.7493002665415,-4180.951753341891,56.75675675675676,490.7223703288024,185
71,4953.129656532803,-2973.5713970756296,60.48780487804878,454.75202982044675,205
72,4861.666364863923,-3065.0346887445094,60.86956521739131,366.2509561941447,207
73,4973.899109415797,-2952.8019441926353,58.88324873096447,396.4881286315133,197
74,4818.946303109235,-3107.754750499198,60.09615384615385,347.69478778144594,208
75,5175.899791240998,-2750.801262367435,60.09852216748769,404.0264987556732,203
76,4320.78577960283,-3605.9152740056024,60.0,610.9239275717921,190
77,4467.748543102029,-3458.952510506404,61.111111111111114,369.1992155811188,198
78,4772.806493713407,-3153.894559895026,60.69651741293532,445.82452205316713,201
79,4781.092919695686,-3145.608133912747,60.204081632653065,402.47822985949233,196
80,5242.192728845214,-2684.5083247632183,57.943925233644855,310.17568453242757,214
81,4890.929278569716,-3035.7717750387164,61.61616161616161,518.8403308760314,198
82,5292.61441180568,-2634.0866418027526,59.89847715736041,357.0417973492108,197
83,5579.0889642607435,-2347.612089347689,60.30150753768844,354.54014808891463,199
84,4931.9680736119935,-2994.732979996439,61.386138613861384,416.34238955575347,202
85,5161.265732371897,-2765.435321236536,59.512195121951216,346.5280220320203,205
86,5910.557426505451,-2016.1436271029816,62.745098039215684,566.3733725035709,204
87,4865.590680533358,-3061.1103730750747,59.70873786407766,421.99858284718766,206
88,6284.378280357306,-1642.3227732511268,62.5,360.1410923256112,200
89,4932.06455545532,-2994.6364981531124,60.80402010050251,276.9178005376766,199
90,5285.804802663085,-2640.8962509453477,63.31658291457286,319.20192850990406,199
91,6120.760687940854,-1805.9403656675786,65.15151515151516,365.50721762215153,198
92,5335.9567038726,-2590.7443497358327,59.900990099009896,310.46118703399134,202
93,5144.348369563708,-2782.352684044725,60.32608695652174,464.54331252038855,184
94,4857.264903390947,-3069.436150217485,60.30927835051546,363.27741753294595,194
95,5036.783392391103,-2889.9176612173296,60.80402010050251,415.9353797312897,199
96,4945.583153435408,-2981.1179001730243,59.905660377358494,325.1725043489508,212
97,5095.409226889014,-2831.291826719419,59.390862944162436,343.30726356755724,197
98,5267.507987599533,-2659.193066008899,60.10362694300518,408.5476994679743,193
99,5302.267688118619,-2624.4333654898137,61.111111111111114,417.5436202452222,198
