repeat,net,delta,wr,mdd,n
83,6256.189099817948,-1670.5119537904848,63.31877729257642,361.14091855515244,229
84,6178.361171728521,-1748.3398818799114,64.03508771929825,361.1409185551529,228
85,5767.375771269417,-2159.3252823390158,61.135371179039296,367.89109301063627,229
86,5918.049783547781,-2008.6512700606518,60.256410256410255,360.5007641700163,234
87,6270.086607780162,-1656.6144458282706,62.33183856502242,352.95992045010826,223
88,5874.7992416030265,-2051.901812005406,60.86956521739131,352.9599204501078,230
89,6130.513111112925,-1796.1879424955077,63.1578947368421,350.20571930520373,228
90,6023.913673536233,-1902.7873800722,62.11453744493392,362.62389372067264,227
91,5165.019798254407,-2761.681255354026,59.64125560538116,423.3317443252604,223
92,5891.752887171069,-2034.9481664373634,62.38938053097345,382.858461861053,226
93,6688.561470175154,-1238.1395834332789,63.83928571428571,373.7180173590659,224
94,6183.5816607403785,-1743.119392868054,62.60869565217392,389.135668039793,230
95,5606.60501936126,-2320.0960342471726,62.05357142857143,383.34470327897225,224
96,5827.2702344859035,-2099.430819122529,61.572052401746724,408.7138844938038,229
97,6178.452965588355,-1748.2480880200774,62.99559471365639,422.7732230134852,227
98,6677.698441586549,-1249.0026120218836,64.75770925110133,360.50076417001674,227
99,6930.751923184273,-995.9491304241592,65.63876651982379,398.6207705744855,227
