side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
L,200.0,1.045005786719544,4.0,3827.73,7779,7783,2025-07-29 15:00:00,2025-07-29 19:00:00,3827.73,3828.72,0.026,-2.97,MFE,4,1.507,-0.124,15.2,MILD_UP,-0.4050996282391914,-0.4050996282391914,-0.4050996282391914,-3.3750996282391914,28
L,200.0,1.0360037192533522,4.0,3860.99,7823,7831,2025-07-31 11:00:00,2025-07-31 19:00:00,3860.99,3853.74,-0.188,-11.51,BE,8,0.441,-0.254,4.0,MILD_UP,-0.4001364280373687,-0.4001364280373687,-0.4001364280373687,-11.910136428037369,29
L,200.0,1.0997500817939123,4.0,3637.19,7970,7976,2025-08-06 14:00:00,2025-08-06 20:00:00,3637.19,3618.16,-0.523,-24.93,MH,6,0.297,-0.803,13.1,DOWN,-0.3281091172031156,-0.3281091172031156,-0.3281091172031156,-25.258109117203116,30
L,200.0,1.0807889759524454,4.0,3701.0,7996,8001,2025-08-07 16:00:00,2025-08-07 21:00:00,3701.0,3848.47,3.985,155.38,TP,5,4.026,-0.003,17.2,DOWN,0.0,-0.17140000000000002,0.0,155.38,31
L,200.0,1.0002625689243427,4.0,3998.95,8026,8033,2025-08-08 22:00:00,2025-08-09 05:00:00,3998.95,4056.82,1.447,53.89,MHx,7,1.777,-1.849,5.1,DOWN,-0.3954043585091087,-0.3954043585091087,-0.3954043585091087,53.49459564149089,32
L,200.0,0.9060022650056625,4.0,4415.0,8692,8698,2025-09-05 16:00:00,2025-09-05 22:00:00,4415.0,4441.23,0.594,19.76,MFE,6,1.8,-1.008,23.2,DOWN,0.0,0.0,0.1382511639840413,19.76,33
L,200.0,0.9237853954147911,4.0,4330.01,8813,8819,2025-09-10 17:00:00,2025-09-10 23:00:00,4330.01,4399.42,1.603,60.12,MFE,6,2.853,-0.564,21.2,DOWN,0.0,0.0,0.0,60.12,34
L,200.0,0.9055387276275337,4.0,4417.26,8834,8841,2025-09-11 14:00:00,2025-09-11 21:00:00,4417.26,4424.45,0.163,2.51,MFE,7,1.498,-2.001,14.1,SIDE,-0.4019686411938623,-0.4019686411938623,-0.4019686411938623,2.1080313588061377,34
L,200.0,0.9542508296018148,4.0,4191.77,9155,9161,2025-09-24 23:00:00,2025-09-25 05:00:00,4191.77,4163.06,-0.685,-31.4,MH,6,0.1,-1.097,22.2,DOWN,0.14367522034844468,0.14367522034844468,0.14367522034844468,-31.256324779651553,35
L,200.0,0.9324031058347456,4.0,4289.99,9317,9325,2025-10-01 17:00:00,2025-10-02 01:00:00,4289.99,4322.64,0.761,26.44,MHx,8,1.242,-0.321,9.1,DOWN,0.03000293651034152,0.03000293651034152,0.03000293651034152,26.470002936510344,36
L,200.0,0.9060084213482764,4.0,4414.97,9346,9354,2025-10-02 22:00:00,2025-10-03 06:00:00,4414.97,4466.66,1.171,42.83,MFE,8,2.303,-1.874,8.1,DOWN,-0.15002499229655494,-0.15002499229655494,-0.15002499229655494,42.67997500770344,37
L,200.0,1.028335792769771,4.0,3889.78,9843,9849,2025-10-23 15:00:00,2025-10-23 21:00:00,3889.78,3851.59,-0.982,-43.27,MH,6,0.403,-1.408,0.0,SIDE,-0.16649404600531195,-0.16649404600531195,-0.16649404600531195,-43.436494046005315,38
L,200.0,0.962213861652891,4.0,4157.08,9970,9975,2025-10-28 22:00:00,2025-10-29 03:00:00,4157.08,4113.19,-1.056,-46.23,MH,5,0.409,-2.191,22.2,MILD_UP,-0.07077322158823021,-0.07077322158823021,-0.07077322158823021,-46.30077322158823,39
L,200.0,1.1487419839348434,4.0,3482.07,10326,10331,2025-11-12 18:00:00,2025-11-12 23:00:00,3482.07,3500.94,0.542,17.68,MFE,5,3.02,-0.115,19.2,DOWN,0.0,0.0,0.0,17.68,40
L,200.0,1.4226167612706815,4.0,2811.72,10803,10812,2025-12-02 15:00:00,2025-12-03 00:00:00,2811.72,3005.55,6.894,271.75,TP,9,7.622,-1.107,23.2,MILD_UP,-0.3988120990227102,-0.3988120990227102,-0.22149692041317576,271.35118790097727,41
L,200.0,1.2729691368632767,4.0,3142.26,10949,10952,2025-12-08 17:00:00,2025-12-08 20:00:00,3142.26,3140.61,-0.053,-6.1,MFE,3,1.201,-0.297,8.1,MILD_UP,0.0,0.0,0.0,-6.1,42
