name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
protect15,0,True,275,7772.6119584464495,7772.611958446448,-5.948041553553145,2.8467633907162484,64.72727272727272,370.14124739577164,-296.26531171259194,77,-3741.481382152594,2,-166.65402024567555,1570
both5,0,True,275,7331.978167155605,7331.978167155605,-4.3218328443957414,2.7669312246261595,66.18181818181819,368.2973578723613,-310.8193172799347,77,-3741.481382152594,2,-166.65402024567555,1463
both15,0,True,275,7733.661792378467,7733.661792378463,-6.808207621536862,2.8439658443793943,65.45454545454545,370.14124739577164,-310.42931727993346,77,-3741.481382152594,2,-166.65402024567555,1504
hourly,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
control,2,True,269,7502.107328066414,7502.107328066415,-8.392671933585234,2.698980843428255,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-166.86400504668492,1631
tp5,2,True,270,7245.579099687406,7245.579099687404,-8.440900312596163,2.6475786025505843,63.33333333333333,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-166.86400504668492,1546
tp15,2,True,265,7507.409888658179,7507.40988865818,-7.090111341820893,2.7418088373703617,63.39622641509434,432.97637083770405,-357.3486270670164,75,-3677.9551873147584,2,-166.86400504668492,1537
protect5,2,True,274,7129.3988125367105,7129.398812536708,-3.1511874632919956,2.682776192102342,64.23357664233576,376.05073830474157,-320.2786270670167,78,-3799.20234590763,2,-166.86400504668492,1538
protect15,2,True,275,7321.343528014609,7321.343528014608,-5.83647198539235,2.679569252376892,63.63636363636363,423.9768733069359,-361.2337295545467,79,-3886.8975129367313,2,-166.86400504668492,1573
both5,2,True,274,6969.8340439539015,6969.834043953897,-4.075956046102277,2.652108451822857,64.96350364963503,376.05073830474066,-320.2786270670167,78,-3799.20234590763,2,-166.86400504668492,1461
both15,2,True,275,7347.973136498149,7347.97313649815,-6.6968635018498315,2.6926435884829183,64.36363636363637,429.772383971459,-375.40372955454677,79,-3886.8975129367313,2,-166.86400504668492,1507
hourly,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632
control,5,True,267,6902.847747016464,6902.84774701646,-7.982252983540695,2.5127651713568877,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-167.17398223679396,1630
tp5,5,True,268,6700.218614210716,6700.218614210716,-8.031385789284528,2.475715532268604,62.31343283582089,491.8698205508499,-399.9021130713227,78,-3919.4291882101716,2,-167.17398223679396,1545
tp15,5,True,265,6887.136453442977,6887.136453442978,-7.143546557021729,2.5246729377942487,62.64150943396226,491.8698205508508,-399.9021130713227,77,-3896.3362355474683,2,-167.17398223679396,1544
