side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
S,200.0,1.1817387461991087,4.0,3384.842896,10356.0,10358.0,2025-11-14 00:00:00,2025-11-14 02:00:00,3384.84,3255.05,3.835,149.38,TP,2.0,3.925,-0.388,33.3,DOWN,0.0,0.0,0.09287396869063301,149.38,200.0,1.1817387461991087,4.0,3384.842896,10356.0,10358.0,2025-11-14 02:00:00,3384.84,3255.05,3.835,149.38,TP,2.0,3.925,-0.388,33.3,DOWN,0.0,0.0,0.09287396869063301,149.38,both
S,200.0,1.3263845215467875,4.0,3015.7167360000003,10490.0,10493.0,2025-11-19 14:00:00,2025-11-19 17:00:00,3015.72,3079.75,-2.123,-88.93,ACX,3.0,0.214,-2.763,19.2,DOWN,0.2751662513260757,0.2751662513260757,0.2751662513260757,-88.65483374867394,200.0,1.3263845215467875,4.0,3015.7167360000003,10490.0,10501.0,2025-11-20 01:00:00,3015.72,2949.46,2.197,83.88,TP,11.0,2.676,-3.225,19.2,DOWN,0.4014804035470132,0.4014804035470132,0.4014804035470132,84.28148040354701,both
S,200.0,1.3541240603520717,4.0,2953.9390940000003,10524.0,10525.0,2025-11-21 00:00:00,2025-11-21 01:00:00,2953.94,2861.78,3.12,120.79,TP,1.0,3.654,-0.209,22.2,DOWN,0.0,0.0,0.2715733956835604,120.79,200.0,1.3541240603520717,4.0,2953.9390940000003,10524.0,10525.0,2025-11-21 01:00:00,2953.94,2861.78,3.12,120.79,TP,1.0,3.654,-0.209,22.2,DOWN,0.0,0.0,0.2715733956835604,120.79,both
S,200.0,1.3939147443312137,4.0,2869.6159620000003,10637.0,10642.0,2025-11-25 17:00:00,2025-11-25 22:00:00,2869.62,2906.65,-1.291,-55.62,ACX,5.0,0.217,-2.226,18.2,DOWN,0.0,0.0,0.0,-55.62,200.0,1.3939147443312137,4.0,2869.6159620000003,10637.0,10647.0,2025-11-26 03:00:00,2869.62,2923.47,-1.877,-79.07,MH,10.0,0.509,-3.045,18.2,DOWN,0.022430375371601727,0.022430375371601727,0.022430375371601727,-79.0475696246284,both
S,200.0,1.376813644258461,4.0,2905.258832,10662.0,10669.0,2025-11-26 18:00:00,2025-11-27 01:00:00,2905.26,2945.74,-1.393,-59.73,ACX,7.0,0.625,-1.845,28.3,DOWN,0.07599495331508611,0.07599495331508611,0.07599495331508611,-59.65400504668491,200.0,1.376813644258461,4.0,2905.258832,10662.0,10670.0,2025-11-27 02:00:00,2905.26,3025.03,-4.123,-168.91,SN,8.0,0.625,-4.407,28.3,DOWN,0.07599495331508611,0.07599495331508611,0.07599495331508611,-168.83400504668492,both
S,200.0,1.3379528599818096,4.0,2989.641952,10689.0,10692.0,2025-11-27 21:00:00,2025-11-28 00:00:00,2989.64,3010.28,-0.69,-31.62,ACX,3.0,0.195,-0.791,15.2,DOWN,0.03978592540742296,0.0,0.03978592540742296,-31.58021407459258,200.0,1.3379528599818096,4.0,2989.641952,10689.0,10699.0,2025-11-28 07:00:00,2989.64,3010.01,-0.681,-31.25,MH,10.0,0.195,-1.801,15.2,DOWN,0.03978592540742296,0.03978592540742296,0.03978592540742296,-31.210214074592578,both
S,,,,,,,2025-12-04 22:00:00,,,,,,,,,,,,,,,,200.0,1.262324977371673,4.0,3168.756122,10858.0,10864.0,2025-12-05 04:00:00,3168.76,3118.28,1.593,59.71,TP,6.0,3.28,-1.859,0.0,MILD_UP,0.38973157177540596,0.38973157177540596,0.38973157177540596,60.09973157177541,right_only
S,200.0,1.2729199589030915,4.0,3142.3813980000004,10859.0,10864.0,2025-12-04 23:00:00,2025-12-05 04:00:00,3142.38,3118.28,0.767,26.67,TP,5.0,2.469,-2.714,4.0,MILD_UP,0.39300267777361625,0.39300267777361625,0.39300267777361625,27.063002677773618,,,,,,,,,,,,,,,,,,,,,,left_only
S,200.0,1.2914388787491062,4.0,3097.320412,10882.0,10885.0,2025-12-05 22:00:00,2025-12-06 01:00:00,3097.32,3032.3,2.099,79.97,TP,3.0,3.242,-1.927,34.3,MILD_UP,0.19586778446935516,0.19586778446935516,0.19586778446935516,80.16586778446936,200.0,1.2914388787491062,4.0,3097.320412,10882.0,10885.0,2025-12-06 01:00:00,3097.32,3032.3,2.099,79.97,TP,3.0,3.242,-1.927,34.3,MILD_UP,0.19586778446935516,0.19586778446935516,0.19586778446935516,80.16586778446936,both
S,200.0,1.2668136383311823,4.0,3157.528368,11027.0,11031.0,2025-12-11 23:00:00,2025-12-12 03:00:00,3157.53,3202.75,-1.432,-61.29,ACX,4.0,0.135,-2.387,0.0,MILD_UP,0.10532520496102261,0.10532520496102261,0.10532520496102261,-61.18467479503898,200.0,1.2668136383311823,4.0,3157.528368,11027.0,11037.0,2025-12-12 09:00:00,3157.53,3188.25,-0.973,-42.92,MH,10.0,0.135,-3.639,0.0,MILD_UP,0.09515936197911722,0.09515936197911722,0.09515936197911722,-42.82484063802089,both
