side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
S,200.0,1.062499767827199,4.0,3764.7067050000005,7835,7844,2025-07-31 23:00:00,2025-08-01 08:00:00,3764.71,3698.43,1.761,66.42,TP,9,2.191,-1.389,4.0,MILD_UP,-0.19471510294410568,-0.19471510294410568,-0.04746920023838616,66.2252848970559
S,200.0,1.1080473233272006,4.0,3609.9541200000003,7948,7951,2025-08-05 16:00:00,2025-08-05 19:00:00,3609.95,3682.76,-2.017,-84.67,ACX,3,0.092,-2.281,30.3,DOWN,0.0,0.0,0.12470200590804184,-84.67
L,200.0,1.0992004815531358,4.0,3639.008595,7970,7974,2025-08-06 14:00:00,2025-08-06 18:00:00,3639.01,3624.18,-0.408,-20.3,ACX,4,0.247,-0.852,13.1,DOWN,-0.3279451446308002,-0.3279451446308002,-0.3279451446308002,-20.6279451446308
L,200.0,1.080248851526682,4.0,3702.8505,7996,8002,2025-08-07 16:00:00,2025-08-07 22:00:00,3702.85,3854.03,4.083,159.31,TP,6,4.367,-0.053,17.2,DOWN,0.0,-0.17131434282858568,0.0,159.31
L,200.0,0.9997626875805525,4.0,4000.9494749999994,8026,8029,2025-08-08 22:00:00,2025-08-09 01:00:00,4000.95,3967.83,-0.828,-37.12,ACX,3,0.101,-1.898,5.1,DOWN,-0.39520675513154296,-0.39520675513154296,-0.39520675513154296,-37.51520675513154
S,200.0,0.8500806111785467,4.0,4705.436105,8167,8169,2025-08-14 19:00:00,2025-08-14 21:00:00,4705.44,4570.77,2.862,110.47,TP,2,4.451,-0.671,19.2,UP,0.0,0.0,0.0,110.47
S,200.0,0.8909669951578449,4.0,4489.504125,8195,8196,2025-08-15 23:00:00,2025-08-16 00:00:00,4489.5,4430.93,1.305,48.18,TP,1,2.16,-0.201,6.1,UP,0.2554598032526033,0.0,0.2554598032526033,48.435459803252606
L,200.0,0.9436035354441874,4.0,4239.068475,8309,8313,2025-08-20 17:00:00,2025-08-20 21:00:00,4239.07,4201.18,-0.894,-39.75,ACX,4,0.0,-2.19,5.1,MILD_UP,0.0,0.0,0.0,-39.75
L,200.0,0.9238101728851501,4.0,4329.893864999999,8357,8360,2025-08-22 17:00:00,2025-08-22 20:00:00,4329.89,4270.58,-1.37,-58.79,ACX,3,0.022,-1.358,22.2,DOWN,0.0,0.0,0.0,-58.79
L,200.0,0.8675181997591976,4.0,4610.854275,8503,8507,2025-08-28 19:00:00,2025-08-28 23:00:00,4610.85,4563.01,-1.038,-45.51,ACX,4,0.045,-1.515,6.1,MILD_UP,0.0,0.0,0.0,-45.51
L,200.0,0.9190975924845171,4.0,4352.094959999999,8646,8649,2025-09-03 18:00:00,2025-09-03 21:00:00,4352.09,4350.02,-0.048,-5.9,ACX,3,0.731,-0.288,9.1,DOWN,0.0,0.0,0.0,-5.9
L,200.0,0.9055494902605323,4.0,4417.2074999999995,8692,8698,2025-09-05 16:00:00,2025-09-05 22:00:00,4417.21,4439.01,0.494,15.74,MFE,6,1.749,-1.057,23.2,DOWN,0.0,0.0,0.13818207294756754,15.74
L,200.0,0.9233237335480172,4.0,4332.175005,8813,8819,2025-09-10 17:00:00,2025-09-10 23:00:00,4332.18,4397.22,1.501,56.06,MFE,6,2.802,-0.614,21.2,DOWN,0.0,0.0,0.0,56.06
L,200.0,0.9050861845352661,4.0,4419.46863,8834,8838,2025-09-11 14:00:00,2025-09-11 18:00:00,4419.47,4412.8,-0.151,-10.03,ACX,4,0.697,-0.333,14.1,SIDE,-0.4017677573152047,-0.4017677573152047,-0.4017677573152047,-10.431767757315203
L,200.0,0.8981486638975442,4.0,4453.605689999999,8851,8854,2025-09-12 07:00:00,2025-09-12 10:00:00,4453.61,4494.32,0.914,32.57,MFE,3,1.908,-0.118,0.0,SIDE,-0.1944645078642723,-0.1944645078642723,-0.1944645078642723,32.375535492135725
S,200.0,0.8950039026141734,4.0,4469.254255,8962,8965,2025-09-16 22:00:00,2025-09-17 01:00:00,4469.25,4463.35,0.132,1.28,ACX,3,1.079,-0.05,29.3,MILD_UP,0.08141574849829168,0.08141574849829168,0.08141574849829168,1.3614157484982916
L,200.0,0.8829039537436731,4.0,4530.50412,8975,8981,2025-09-17 11:00:00,2025-09-17 17:00:00,4530.5,4507.03,-0.518,-24.73,BE,6,0.521,-1.526,16.2,MILD_UP,-0.21487612358688246,-0.21487612358688246,-0.21487612358688246,-24.944876123586884
S,200.0,0.8800519411936004,4.0,4545.18627,9024,9036,2025-09-19 12:00:00,2025-09-20 00:00:00,4545.19,4474.53,1.555,58.18,TP,12,2.264,-0.261,16.2,MILD_UP,-0.20627348594891853,-0.20627348594891853,-0.036093702517586104,57.97372651405108
L,200.0,0.9537739426304997,4.0,4193.865885,9155,9160,2025-09-24 23:00:00,2025-09-25 04:00:00,4193.87,4156.87,-0.882,-39.29,ACX,5,0.05,-0.993,22.2,DOWN,0.14360341863912515,0.14360341863912515,0.14360341863912515,-39.146396581360875
S,200.0,0.9659925801795967,4.0,4140.818555000001,9162,9168,2025-09-25 06:00:00,2025-09-25 12:00:00,4140.82,4061.79,1.909,72.34,TP,6,2.918,-0.506,26.3,DOWN,-0.3448855606867229,-0.3448855606867229,-0.3448855606867229,71.99511443931328
L,200.0,0.9319371372661126,4.0,4292.134994999999,9317,9320,2025-10-01 17:00:00,2025-10-01 20:00:00,4292.13,4293.73,0.037,-2.51,ACX,3,0.582,-0.345,9.1,DOWN,0.0,0.0,0.0,-2.51
L,200.0,0.9228484570338324,4.0,4334.40612,9328,9331,2025-10-02 04:00:00,2025-10-02 07:00:00,4334.41,4308.39,-0.6,-28.0,ACX,3,0.022,-1.15,22.2,DOWN,0.0,0.0,0.0,-28.0
L,200.0,0.9078504748161819,4.0,4406.011905,9345,9353,2025-10-02 21:00:00,2025-10-03 05:00:00,4406.01,4486.75,1.832,69.29,MHx,8,2.511,-1.675,16.2,DOWN,-0.1503300160146801,-0.1503300160146801,-0.1503300160146801,69.13966998398533
