bar,side,allowed,decision_ts
12875,S,False,2026-02-26 23:00:00
12876,S,True,2026-02-27 00:00:00
12895,S,True,2026-02-27 19:00:00
12971,L,False,2026-03-02 23:00:00
13036,S,True,2026-03-05 16:00:00
13062,S,True,2026-03-06 18:00:00
13157,L,True,2026-03-10 17:00:00
13220,L,False,2026-03-13 08:00:00
13231,L,False,2026-03-13 19:00:00
13351,S,False,2026-03-18 19:00:00
13352,S,True,2026-03-18 20:00:00
13372,S,True,2026-03-19 16:00:00
13538,S,True,2026-03-26 14:00:00
13566,S,False,2026-03-27 18:00:00
13567,S,True,2026-03-27 19:00:00
13637,L,True,2026-03-30 17:00:00
13677,L,True,2026-04-01 09:00:00
13713,S,True,2026-04-02 21:00:00
13737,S,False,2026-04-03 21:00:00
13831,S,False,2026-04-07 19:00:00
13850,L,True,2026-04-08 14:00:00
13859,S,False,2026-04-08 23:00:00
13869,S,True,2026-04-09 09:00:00
13904,L,False,2026-04-10 20:00:00
13905,L,True,2026-04-10 21:00:00
13995,L,True,2026-04-14 15:00:00
14003,S,False,2026-04-14 23:00:00
14050,S,True,2026-04-16 22:00:00
14183,L,True,2026-04-22 11:00:00
14193,L,True,2026-04-22 21:00:00
14398,L,False,2026-05-01 10:00:00
14400,L,True,2026-05-01 12:00:00
14496,L,False,2026-05-05 12:00:00
14836,L,False,2026-05-19 16:00:00
14840,S,True,2026-05-19 20:00:00
14907,S,False,2026-05-22 15:00:00
14909,S,True,2026-05-22 17:00:00
14983,L,True,2026-05-25 19:00:00
15034,S,False,2026-05-27 22:00:00
15178,S,True,2026-06-02 22:00:00
15208,S,True,2026-06-04 04:00:00
15239,S,False,2026-06-05 11:00:00
15240,S,True,2026-06-05 12:00:00
15333,S,False,2026-06-09 09:00:00
15389,L,True,2026-06-11 17:00:00
15487,L,False,2026-06-15 19:00:00
15533,S,True,2026-06-17 17:00:00
15564,S,False,2026-06-19 00:00:00
15652,L,True,2026-06-22 16:00:00
15674,S,True,2026-06-23 14:00:00
15692,L,True,2026-06-24 08:00:00
15723,L,True,2026-06-25 15:00:00
15730,S,False,2026-06-25 22:00:00
15743,S,False,2026-06-26 11:00:00
15845,S,True,2026-06-30 17:00:00
15894,L,True,2026-07-02 18:00:00
15910,L,False,2026-07-03 10:00:00
15917,L,True,2026-07-03 17:00:00
16043,S,True,2026-07-08 23:00:00
16183,L,True,2026-07-14 19:00:00
16195,L,False,2026-07-15 07:00:00
16228,S,True,2026-07-16 16:00:00
16250,S,True,2026-07-17 14:00:00
16341,L,True,2026-07-21 09:00:00
16371,S,False,2026-07-22 15:00:00
16372,S,True,2026-07-22 16:00:00
16396,S,True,2026-07-23 16:00:00
16420,L,True,2026-07-24 16:00:00
16426,S,False,2026-07-24 22:00:00
16548,S,False,2026-07-30 00:00:00
16567,L,True,2026-07-30 19:00:00
16874,L,True,2026-08-12 14:00:00
17012,L,False,2026-08-18 08:00:00
17071,L,False,2026-08-20 19:00:00
17072,L,True,2026-08-20 20:00:00
17086,L,False,2026-08-21 10:00:00
17201,S,True,2026-08-26 05:00:00
17255,S,False,2026-08-28 11:00:00
17256,S,True,2026-08-28 12:00:00
17490,L,False,2026-09-07 06:00:00
