side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
L,200.0,1.4826950948739523,4.0,2697.79,3939,3945,2025-02-19 15:00:00,2025-02-19 21:00:00,2697.79,2703.32,0.205,4.2,MFE,6,1.421,-0.054,21.2,SIDE,-0.29192348069460056,-0.29192348069460056,-0.29192348069460056,3.9080765193053995
L,200.0,1.4575347257648412,4.0,2744.36,3967,3974,2025-02-20 19:00:00,2025-02-21 02:00:00,2744.36,2734.17,-0.371,-18.85,MH,7,0.952,-1.411,0.0,MILD_UP,-0.25307913903423745,-0.25307913903423745,-0.25307913903423745,-19.10307913903424
S,200.0,1.475334255417243,4.0,2711.25,3972,3982,2025-02-21 00:00:00,2025-02-21 10:00:00,2711.25,2740.31,-1.072,-46.87,MH,10,0.207,-2.077,31.3,MILD_UP,0.14431090279391426,0.14431090279391426,0.4004806643430152,-46.725689097206086
L,200.0,1.4519108962282985,4.0,2754.99,3986,3990,2025-02-21 14:00:00,2025-02-21 18:00:00,2754.99,2780.72,0.934,33.36,MFE,4,2.755,-0.306,17.2,MILD_UP,-0.2649513442880011,-0.2649513442880011,-0.2649513442880011,33.095048655712
S,200.0,1.644770657291474,4.0,2431.95,4113,4115,2025-02-26 21:00:00,2025-02-26 23:00:00,2431.95,2434.73,-0.114,-8.57,TP,2,2.618,-0.29,3.0,DOWN,0.0,0.0,0.0,-8.57
L,200.0,1.6961010876248226,4.0,2358.35,4134,4140,2025-02-27 18:00:00,2025-02-28 00:00:00,2358.35,2322.32,-1.528,-65.11,MH,6,0.979,-2.912,9.1,DOWN,-0.1980305389704044,-0.1980305389704044,0.0,-65.3080305389704
S,200.0,1.733477789815818,4.0,2307.5,4139,4145,2025-02-27 23:00:00,2025-02-28 05:00:00,2307.5,2255.1,2.271,86.83,TP,6,2.962,-1.277,14.1,DOWN,0.20239450556049976,0.20239450556049976,0.20239450556049976,87.0323945055605
S,200.0,1.8972901952785934,4.0,2108.27,4240,4246,2025-03-04 04:00:00,2025-03-04 10:00:00,2108.27,2055.65,2.496,95.84,TP,6,4.005,-3.057,26.3,DOWN,-0.17558532370142343,-0.17558532370142343,-0.17558532370142343,95.66441467629858
L,200.0,1.8268176835951773,4.0,2189.6,4275,4278,2025-03-05 15:00:00,2025-03-05 18:00:00,2189.6,2238.03,2.212,84.47,MFE,3,3.297,-0.107,1.0,DOWN,-0.288110787575258,-0.288110787575258,-0.288110787575258,84.18188921242474
L,200.0,1.9284543438434096,4.0,2074.2,4396,4398,2025-03-10 16:00:00,2025-03-10 18:00:00,2074.2,2100.98,1.291,47.64,MFE,2,3.799,-1.323,19.2,DOWN,0.0,-0.10300996031005206,0.0,47.64
