name,side,origin_bar,outcome,matched_baseline,baseline_net
wait6,S,11691,expired,True,-25.37950492548435
wait6,S,11699,expired,False,
wait6,S,11717,expired,False,
wait6,L,11810,second_entry,True,-0.1954359707156272
wait6,S,11892,expired,True,-35.80191220469256
wait6,S,11971,expired,True,86.84453337004038
wait6,S,12009,cross_blocked,True,34.14560340022936
wait6,S,12053,second_entry,True,-87.02647942206686
wait6,L,12131,cross_blocked,True,-33.122616705978864
wait6,L,12176,expired,False,
wait6,S,12203,expired,True,68.504161269521
wait6,S,12318,second_entry,True,84.89309727661998
wait6,S,12346,expired,True,81.10055603796255
wait6,L,12395,expired,True,174.53587356425035
wait6,S,12507,expired,True,35.51260529735108
wait6,L,12530,second_entry,True,16.300479594663777
wait6,S,12540,expired,True,77.44
wait6,L,12557,expired,True,149.8330174058244
wait6,L,12629,expired,True,-22.91
wait6,L,12675,expired,True,33.07253517570161
wait6,S,12682,cross_blocked,True,56.20509207864542
wait6,S,12706,expired,True,-62.7036096591622
wait6,S,12826,expired,True,-84.66124705779703
wait6,L,12835,second_entry,True,125.77774798619105
wait6,L,12848,expired,True,177.71939694253405
wait6,S,12875,expired,True,127.51566968578982
wait6,S,12895,expired,True,31.48
wait6,L,12971,expired,True,133.46868468381612
wait6,S,13036,expired,True,43.71198344652854
wait6,S,13062,expired,True,74.09
wait6,L,13157,second_entry,True,41.71195564497207
wait6,L,13220,expired,True,83.93
wait6,L,13231,second_entry,True,106.39
wait6,S,13351,expired,True,71.41
wait6,S,13372,second_entry,True,48.83
wait6,S,13538,expired,True,66.52865137191294
wait6,S,13566,expired,True,94.42
wait6,L,13637,second_entry,True,13.44
wait6,L,13677,cross_blocked,True,26.497242357905492
wait6,L,13682,expired,False,
wait6,S,13713,expired,True,-69.82605870102284
wait6,S,13737,cross_blocked,True,-8.018343569354231
wait6,S,13831,expired,True,-54.2989361228484
wait6,L,13850,expired,True,-0.7347229833096558
wait6,S,13859,expired,False,
wait6,S,13869,expired,False,
wait6,S,13882,expired,True,-49.54087045461809
wait6,L,13904,expired,False,
wait6,L,13995,expired,True,-38.23081445445885
wait6,S,14003,cross_blocked,False,
wait6,S,14050,cross_blocked,False,
wait6,S,14169,second_entry,False,
wait6,L,14183,expired,True,34.35
wait6,L,14192,cross_blocked,False,
wait6,S,14204,expired,False,
wait6,S,14213,expired,False,
wait6,L,14398,expired,True,12.94
wait6,L,14496,expired,True,-24.653667223106485
wait6,L,14836,expired,True,-46.21
wait6,S,14840,second_entry,True,-15.726505170115749
wait6,S,14907,second_entry,True,7.98089591431054
wait6,L,14983,second_entry,True,14.409430761640571
wait6,S,15034,cross_blocked,True,80.84472139746285
wait6,S,15178,expired,True,62.44
wait6,S,15208,second_entry,True,92.2477447406528
wait6,S,15239,expired,True,102.73
wait6,S,15333,expired,True,-32.12854510613719
wait6,L,15389,expired,True,-45.13
wait6,L,15487,expired,True,172.21
wait6,S,15533,expired,True,-14.639615300437812
wait6,S,15564,expired,True,-78.87344448537709
wait6,L,15652,expired,True,14.28
wait6,S,15674,expired,True,148.7931589567837
wait6,L,15692,cross_blocked,True,10.701217234727928
wait6,L,15704,expired,False,
wait6,L,15723,expired,True,-48.45162021035141
wait6,S,15730,expired,True,-82.370157490192
wait6,S,15743,expired,False,
wait6,S,15845,expired,True,75.48
wait6,L,15894,expired,True,160.44
wait6,L,15910,second_entry,True,13.288721611657406
wait6,S,16043,cross_blocked,True,-30.699214648927462
wait6,L,16183,expired,True,131.9
