name,side,origin_bar,original_exit_bar,original_reason,original_net,retry_entry_bar,retry_net,retry_reason
outside12,S,6286,6296,MH,-37.54973876459957,6304,-163.60022194318603,SN
outside12,S,6647,6659,BE,-13.152449101698666,6667,162.42505481310005,TP
outside12,L,7135,7141,TP,171.4366108876791,7147,-12.86626439249284,MH
outside12,L,7274,7283,MFE,14.598468474864688,7289,5.982622786630886,MFE
outside12,L,7305,7312,TP,153.03961944791274,7318,19.167017577359747,MFE
outside12,S,7638,7642,TP,73.53,7650,-2.026003977742071,TP
outside12,S,7840,7845,TP,56.00163023368726,7853,61.9747226409409,TP
outside12,S,7948,7960,MHx,42.104159480764565,7968,-24.85683737109229,MH
outside12,L,7970,7976,MH,-25.25810911720312,7984,-22.109025517738218,MH
outside12,L,7996,8001,TP,155.38,8008,29.86769464444156,MFE
outside12,S,8167,8169,TP,114.36,8177,-84.3287971634186,MH
outside12,L,8309,8316,MFE,11.235773093488566,8322,-47.0289640921659,MH
outside12,L,8646,8654,MHx,106.13932753908308,8660,-71.81,MH
outside12,S,8666,8677,TP,67.33012066117392,8685,-105.96198556112046,MH
outside12,L,8813,8819,MFE,60.12,8825,71.83611273852325,MHx
outside12,L,8851,8854,MFE,36.4154382598818,8860,14.36,BE
outside12,S,8962,8972,MH,-28.80125801781819,8982,-23.473972990465334,MH
outside12,S,9162,9167,TP,37.53528688209362,9175,30.89,TP
outside12,L,9317,9325,MHx,26.470002936510344,9331,16.920030008050016,MFE
outside12,L,9359,9360,MFE,-12.02,9372,-12.78,MFE
outside12,S,9459,9468,TP,131.48734078306495,9476,-17.537647726912834,MH
outside12,S,9503,9509,TP,72.62093198287823,9520,-11.846701986207576,MH
outside12,S,9626,9627,TP,61.79,9635,-173.17911820472625,SN
outside12,L,9763,9770,MHx,36.43169057145151,9776,-86.82818081539324,MH
outside12,S,9792,9793,TP,69.64,9801,-176.82,SN
outside12,L,9843,9849,MH,-43.43649404600532,9856,28.87450078144297,MHx
outside12,S,9959,9969,MH,-29.194422356638327,9977,-50.29639006460206,MH
outside12,S,9996,9999,TP,31.38,10007,71.45,TP
outside12,S,10017,10022,TP,43.96717865205059,10030,-31.42020359732908,MH
outside12,L,10161,10167,TP,135.42378202999805,10173,-26.2,MFE
outside12,S,10179,10188,TP,94.95194227347687,10196,62.68367009943672,TP
outside12,S,10306,10310,TP,63.50143455484156,10318,-123.05673424530757,MH
outside12,S,10356,10358,TP,150.92,10366,50.76,TP
outside12,L,10471,10478,MFE,86.84972659898285,10484,-151.29,SN
outside12,S,10490,10501,TP,85.8514001074663,10509,-9.53435051634556,BE
outside12,L,10803,10812,TP,271.35118790097727,10818,91.35203104043288,MHx
outside12,S,10858,10864,TP,61.67965362546105,10872,58.50116800073195,TP
outside12,L,10949,10952,MFE,-6.1,10962,-53.6498591868078,MH
outside12,S,11307,11315,TP,53.48206728184744,11323,41.09853721892252,MHx
outside12,L,11347,11353,MH,-24.22000599256355,11364,-22.81,MH
outside12,L,11504,11510,MH,-38.69031923025649,11518,-12.271281597896987,MH
outside12,L,11810,11817,BE,-0.1954359707156272,11824,140.05,TP
outside12,S,11971,11979,TP,86.84453337004038,11987,58.75904608186056,TP
outside12,L,12131,12137,MH,-33.122616705978864,12143,-34.225840599144085,MH
outside12,S,12318,12325,TP,84.89309727661998,12333,-39.40535685224607,MH
outside12,S,12507,12516,TP,35.51260529735108,12524,-88.9391077670232,MH
outside12,L,12629,12634,MFE,-22.91,12640,30.89550479028261,MFE
outside12,S,12682,12688,TP,56.20509207864542,12696,99.32904529547598,TP
outside12,L,12835,12839,TP,125.77774798619105,12845,178.67,TP
outside12,S,12875,12877,TP,127.51566968578982,12885,101.3634774903542,TP
outside12,L,12971,12972,TP,133.46868468381612,12978,-71.63571094744677,MH
outside12,S,13036,13045,TP,43.71198344652854,13053,47.544333985036346,MHx
outside12,L,13220,13221,TP,83.93,13227,3.622524161929174,MFE
outside12,S,13351,13352,TP,71.41,13360,-51.54531978912012,MH
outside12,S,13377,13385,MH,-29.687377006765697,13394,16.66100203449124,BE
outside12,S,13538,13542,TP,66.52865137191294,13552,-28.06836599064389,MH
outside12,L,13677,13684,MFE,26.497242357905492,13690,28.45159000311529,MFE
outside12,L,14398,14403,MFE,12.94,14409,-2.574503315677125,MFE
outside12,L,14496,14502,MH,-24.653667223106485,14508,-13.36,MH
outside12,S,15034,15042,TP,80.84472139746285,15050,-27.96733600683636,MH
outside12,S,15178,15179,TP,62.44,15187,83.01046518971417,TP
outside12,S,15208,15214,TP,92.2477447406528,15222,63.39,TP
outside12,S,15239,15242,TP,102.73,15250,74.98028659671542,TP
outside12,S,15333,15343,MH,-32.12854510613719,15352,76.12820932631477,TP
outside12,L,15389,15395,MH,-45.13,15401,-1.753777868129633,BE
outside12,L,15487,15490,TP,172.21,15496,-69.33708041347874,MH
outside12,S,15533,15543,MH,-14.639615300437812,15551,32.44738523564075,MHx
outside12,S,15674,15677,TP,148.7931589567837,15688,-32.216351781992344,MH
