side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,valid,F45,F15,F60,R15,strong,weak,divergent,V45,V15,B45,B15
L,200.0,2.5158973262301165,4.0,1589.89,5336,5343,2025-04-18 20:00:00,2025-04-19 03:00:00,1589.89,1592.72,0.178,3.12,BE,7,0.424,-0.776,23.2,SIDE,0.05939702858873406,0.05939702858873406,0.05939702858873406,3.1793970285887343,True,0.049456664505065584,0.08306407372098845,0.058745644087325966,0.0009947680238744372,True,False,False,67269.579,25695.152,35298.254,13914.748
L,200.0,2.4355937673155497,4.0,1642.31,5434,5436,2025-04-22 22:00:00,2025-04-23 00:00:00,1642.31,1702.41,3.659,142.38,TP,2,5.092,-0.315,22.2,SIDE,-0.33599588129401886,-0.33599588129401886,0.0,142.04400411870597,True,-0.022276683411253106,-0.0074004977240524905,-0.016712054511212382,-0.001823364593906307,False,True,False,423898.2,253323.502,207227.577,125724.391
L,200.0,2.2809568614033586,4.0,1753.65,5442,5446,2025-04-23 06:00:00,2025-04-23 10:00:00,1753.65,1761.34,0.439,13.54,MFE,4,2.016,-0.914,24.2,SIDE,-0.2674540260599321,-0.2674540260599321,-0.2674540260599321,13.272545973940067,True,0.12318893925627905,0.10124017372021821,0.1136495874553407,0.01467346336552322,False,False,False,575299.0360000001,442243.285,323084.757,243508.036
S,200.0,2.249212775528565,4.0,1778.4,5471,5477,2025-04-24 11:00:00,2025-04-24 17:00:00,1778.4,1733.8,2.508,96.31,TP,6,3.215,-0.678,0.0,MILD_UP,0.2854544464687359,0.2854544464687359,0.2854544464687359,96.59545444646874,True,0.22836449322159424,0.10432602705070104,0.17093374140739404,0.0035188381110339284,False,False,False,109098.808,94067.581,42092.257,42126.941999999995
L,200.0,2.2556942180917954,4.0,1773.29,5493,5498,2025-04-25 09:00:00,2025-04-25 14:00:00,1773.29,1766.62,-0.376,-19.05,MH,5,0.936,-2.024,12.1,MILD_UP,0.0,0.0,0.0,-19.05,True,-0.039514479268566216,-0.13580319673875285,-0.05641264765426457,0.000349754889516829,False,False,False,105385.572,22431.173000000003,50610.658,9692.474
S,200.0,2.293854191158339,4.0,1743.79,5495,5505,2025-04-25 11:00:00,2025-04-25 21:00:00,1743.79,1772.0,-1.618,-68.71,MH,10,0.275,-3.338,32.3,MILD_UP,0.3190509789118724,0.3190509789118724,0.3190509789118724,-68.39094902108812,True,0.08941688759510447,0.2126275299850494,0.14857568506722574,0.003918544540599256,True,False,False,164418.24800000002,151858.012,74858.24,59784.409
S,200.0,2.2544356020470278,4.0,1774.28,5625,5626,2025-04-30 21:00:00,2025-04-30 22:00:00,1774.28,1740.14,1.924,72.97,TP,1,2.293,-0.05,5.1,UP,0.0,0.0,0.0,72.97,True,0.11327886702228795,0.020137085546078293,0.08241846441810252,0.0012608920811474356,False,False,False,497826.139,246672.687,220716.479,120852.709
S,200.0,2.1845269952923445,4.0,1831.06,5666,5676,2025-05-02 14:00:00,2025-05-03 00:00:00,1831.06,1840.21,-0.5,-23.99,MH,10,1.041,-1.23,17.2,MILD_UP,-0.2535164948085723,-0.2535164948085723,-0.22987671311695063,-24.24351649480857,True,0.19542078663379625,0.23412205473366965,0.21310646905063446,0.002408089437095473,True,False,False,97320.55799999999,81900.191,39151.049,31362.775
L,200.0,2.170138888888889,4.0,1843.2,5790,5796,2025-05-07 18:00:00,2025-05-08 00:00:00,1843.2,1816.73,-1.436,-61.44,MH,6,0.179,-1.619,2.0,SIDE,0.025547765624999996,0.0,0.025547765624999996,-61.414452234375,True,0.0902914750485444,-0.13924061128296128,0.0471840306903244,0.0005971445632702022,False,False,False,89712.722,20744.501,48906.508,8928.011999999999
L,200.0,1.7730968022199172,4.0,2255.94,5835,5836,2025-05-09 15:00:00,2025-05-09 16:00:00,2255.94,2363.81,4.782,187.26,TP,1,6.105,-0.032,16.2,MILD_UP,-0.41919909217443724,-0.41919909217443724,0.0,186.84080090782555,True,0.1532491580330877,0.03417417770694087,0.1365672046702162,0.004108229366495797,False,False,False,536674.296,87435.403,309459.59,45211.718
