bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4424,2025-03-11 20:00:00,0.0,-0.288110787575258,-0.1755853237014234
4425,2025-03-11 21:00:00,0.0,-0.288110787575258,-0.1755853237014234
4426,2025-03-11 22:00:00,0.0,-0.288110787575258,-0.1755853237014234
4427,2025-03-11 23:00:00,0.0,-0.288110787575258,-0.1755853237014234
4428,2025-03-12 00:00:00,0.0,-0.288110787575258,-0.1755853237014234
4429,2025-03-12 01:00:00,0.0,-0.288110787575258,-0.1755853237014234
4430,2025-03-12 02:00:00,0.0,-0.288110787575258,-0.1755853237014234
4431,2025-03-12 03:00:00,0.0,-0.288110787575258,-0.1755853237014234
4432,2025-03-12 04:00:00,0.0,-0.288110787575258,-0.1755853237014234
4433,2025-03-12 05:00:00,0.0,-0.288110787575258,-0.1755853237014234
4434,2025-03-12 06:00:00,0.0,-0.288110787575258,-0.1755853237014234
4435,2025-03-12 07:00:00,0.0,-0.288110787575258,-0.1755853237014234
4436,2025-03-12 08:00:00,0.0,-0.288110787575258,-0.1755853237014234
4437,2025-03-12 09:00:00,0.0,-0.288110787575258,-0.1755853237014234
4438,2025-03-12 10:00:00,0.0,-0.288110787575258,-0.1755853237014234
4439,2025-03-12 11:00:00,0.0,-0.288110787575258,-0.1755853237014234
4440,2025-03-12 12:00:00,0.0,-0.288110787575258,-0.1755853237014234
4441,2025-03-12 13:00:00,0.0,-0.288110787575258,-0.1755853237014234
4442,2025-03-12 14:00:00,0.0,-0.288110787575258,-0.1755853237014234
4443,2025-03-12 15:00:00,0.0,-0.288110787575258,-0.1755853237014234
4444,2025-03-12 16:00:00,0.0,-0.288110787575258,-0.1755853237014234
4445,2025-03-12 17:00:00,0.0,-0.288110787575258,-0.1755853237014234
4446,2025-03-12 18:00:00,0.0,-0.288110787575258,-0.1755853237014234
4447,2025-03-12 19:00:00,0.0,-0.288110787575258,-0.1755853237014234
4448,2025-03-12 20:00:00,0.0,-0.288110787575258,-0.1755853237014234
4449,2025-03-12 21:00:00,0.0,-0.288110787575258,-0.1755853237014234
4450,2025-03-12 22:00:00,0.0,-0.288110787575258,-0.1755853237014234
4451,2025-03-12 23:00:00,0.0,-0.288110787575258,-0.1755853237014234
4452,2025-03-13 00:00:00,0.0,-0.288110787575258,-0.1755853237014234
4453,2025-03-13 01:00:00,0.0,-0.288110787575258,-0.1755853237014234
4454,2025-03-13 02:00:00,0.0,-0.288110787575258,-0.1755853237014234
4455,2025-03-13 03:00:00,0.0,-0.288110787575258,-0.1755853237014234
4456,2025-03-13 04:00:00,0.0,-0.288110787575258,-0.1755853237014234
4457,2025-03-13 05:00:00,0.0,-0.288110787575258,-0.1755853237014234
4458,2025-03-13 06:00:00,0.0,-0.288110787575258,-0.1755853237014234
4459,2025-03-13 07:00:00,0.0,-0.288110787575258,-0.1755853237014234
4460,2025-03-13 08:00:00,0.0,-0.288110787575258,-0.1755853237014234
4461,2025-03-13 09:00:00,0.0,-0.288110787575258,-0.1755853237014234
4462,2025-03-13 10:00:00,0.0,-0.288110787575258,-0.1755853237014234
4463,2025-03-13 11:00:00,0.0,-0.288110787575258,-0.1755853237014234
4464,2025-03-13 12:00:00,0.0,-0.288110787575258,-0.1755853237014234
4465,2025-03-13 13:00:00,0.0,-0.288110787575258,-0.1755853237014234
4466,2025-03-13 14:00:00,0.0,-0.288110787575258,-0.1755853237014234
4467,2025-03-13 15:00:00,0.0,-0.288110787575258,-0.1755853237014234
4468,2025-03-13 16:00:00,0.0,-0.288110787575258,-0.1755853237014234
4469,2025-03-13 17:00:00,0.0,-0.288110787575258,-0.1755853237014234
4470,2025-03-13 18:00:00,0.0,-0.288110787575258,-0.1755853237014234
4471,2025-03-13 19:00:00,0.0,-0.288110787575258,-0.1755853237014234
4472,2025-03-13 20:00:00,0.0,-0.288110787575258,-0.1755853237014234
4473,2025-03-13 21:00:00,0.0,-0.288110787575258,-0.1755853237014234
4474,2025-03-13 22:00:00,0.0,-0.288110787575258,-0.1755853237014234
