side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
L,200.0,1.0187702899086852,4.0,3926.30217,2118.0,2128.0,2024-12-05 18:00:00,2024-12-06 04:00:00,3926.3,3832.02,-2.401,-100.05,MH,10.0,0.858,-2.631,22.2,MILD_UP,-1.2356766804833057,-1.2356766804833057,-1.2356766804833057,-101.2856766804833,200.0,1.0187702899086852,4.0,3926.30217,2118.0,2125.0,2024-12-06 01:00:00,3926.3,3902.6,-0.604,-28.15,MH,7.0,0.858,-1.628,22.2,MILD_UP,-1.2356766804833057,-1.2356766804833057,-1.2356766804833057,-29.385676680483304,both
L,200.0,1.0879624790463185,4.0,3676.59738,2259.0,2268.0,2024-12-11 15:00:00,2024-12-12 00:00:00,3676.6,3784.86,2.945,113.78,TP,9.0,3.9,-0.718,24.2,MILD_UP,-0.8092732223760655,-0.8092732223760655,-0.3973423927098593,112.97072677762394,200.0,1.0879624790463185,4.0,3676.59738,2259.0,2268.0,2024-12-12 00:00:00,3676.6,3784.86,2.945,113.78,TP,9.0,3.9,-0.718,24.2,MILD_UP,-0.8092732223760655,-0.8092732223760655,-0.3973423927098593,112.97072677762394,both
L,200.0,1.0305826217469505,4.0,3881.29968,2279.0,2281.0,2024-12-12 11:00:00,2024-12-12 13:00:00,3881.3,3905.79,0.631,21.24,MFE,2.0,1.709,-0.856,22.2,MILD_UP,0.0,0.0,0.0,21.24,200.0,1.0305826217469505,4.0,3881.29968,2279.0,2281.0,2024-12-12 13:00:00,3881.3,3905.79,0.631,21.24,MFE,2.0,1.709,-0.856,22.2,MILD_UP,0.0,0.0,0.0,21.24,both
L,200.0,1.1575558147043283,4.0,3455.5569149999997,2579.0,2581.0,2024-12-24 23:00:00,2024-12-25 01:00:00,3455.56,3476.52,0.607,20.27,MFE,2.0,1.788,-0.4,23.2,DOWN,-0.1114247425102346,-0.1114247425102346,-0.1114247425102346,20.158575257489765,200.0,1.1575558147043283,4.0,3455.5569149999997,2579.0,2581.0,2024-12-25 01:00:00,3455.56,3476.52,0.607,20.27,MFE,2.0,1.788,-0.4,23.2,DOWN,-0.1114247425102346,-0.1114247425102346,-0.1114247425102346,20.158575257489765,both
L,200.0,1.144417886892225,4.0,3495.2267399999996,2598.0,2599.0,2024-12-25 18:00:00,2024-12-25 19:00:00,3495.23,3511.33,0.461,14.43,MFE,1.0,1.482,-0.141,17.2,DOWN,0.0,0.0,0.0,14.43,200.0,1.144417886892225,4.0,3495.2267399999996,2598.0,2599.0,2024-12-25 19:00:00,3495.23,3511.33,0.461,14.43,MFE,1.0,1.482,-0.141,17.2,DOWN,0.0,0.0,0.0,14.43,both
L,200.0,1.2740561691964811,4.0,3139.579005,3070.0,3080.0,2025-01-14 10:00:00,2025-01-14 20:00:00,3139.58,3214.61,2.39,91.6,MFE,10.0,3.703,-0.294,22.2,DOWN,-0.30100527799904814,-0.30100527799904814,-0.30100527799904814,91.29899472200094,200.0,1.2740561691964811,4.0,3139.579005,3070.0,3078.0,2025-01-14 18:00:00,3139.58,3240.9,3.227,125.09,MHx,8.0,3.703,-0.294,22.2,DOWN,-0.30100527799904814,-0.30100527799904814,-0.30100527799904814,124.78899472200095,both
L,200.0,1.1738456794093337,4.0,3407.60295,3149.0,3156.0,2025-01-17 17:00:00,2025-01-18 00:00:00,3407.6,3418.73,0.327,9.06,MFE,7.0,1.244,-0.517,8.1,DOWN,-0.40150687156788617,-0.40150687156788617,0.0,8.658493128432115,200.0,1.1738456794093337,4.0,3407.60295,3149.0,3156.0,2025-01-18 00:00:00,3407.6,3418.73,0.327,9.06,MFE,7.0,1.244,-0.517,8.1,DOWN,-0.40150687156788617,-0.40150687156788617,0.0,8.658493128432115,both
L,200.0,1.248801644088575,4.0,3203.070735,3408.0,3420.0,2025-01-28 12:00:00,2025-01-29 00:00:00,3203.07,3178.56,-0.765,-34.61,MH,12.0,0.59,-1.523,6.1,DOWN,-0.395885907348186,-0.395885907348186,-0.1614150986353088,-35.00588590734819,200.0,1.248801644088575,4.0,3203.070735,3408.0,3414.0,2025-01-28 18:00:00,3203.07,3194.11,-0.28,-15.19,MH,6.0,0.59,-0.662,6.1,DOWN,-0.1614150986353088,-0.1614150986353088,-0.1614150986353088,-15.351415098635309,both
L,200.0,1.2492581943881043,4.0,3201.90015,3456.0,3468.0,2025-01-30 12:00:00,2025-01-31 00:00:00,3201.9,3252.76,1.589,59.54,MHx,12.0,2.439,-0.778,23.2,DOWN,-0.6852689089083556,-0.6852689089083556,-0.3984770800001368,58.854731091091644,200.0,1.2492581943881043,4.0,3201.90015,3456.0,3464.0,2025-01-30 20:00:00,3201.9,3219.55,0.551,18.05,MHx,8.0,0.846,-0.778,23.2,DOWN,-0.3984770800001368,-0.3984770800001368,-0.3984770800001368,17.651522919999863,both
L,200.0,1.4473659248225186,4.0,2763.64113,3568.0,3571.0,2025-02-04 04:00:00,2025-02-04 07:00:00,2763.64,2866.43,3.719,144.77,TP,3.0,5.634,-2.534,10.1,DOWN,0.0,0.0,0.0,144.77,200.0,1.4473659248225186,4.0,2763.64113,3568.0,3571.0,2025-02-04 07:00:00,2763.64,2866.43,3.719,144.77,TP,3.0,5.634,-2.534,10.1,DOWN,0.0,0.0,0.0,144.77,both
L,200.0,1.428581994976113,4.0,2799.9792899999998,3608.0,3611.0,2025-02-05 20:00:00,2025-02-05 23:00:00,2799.98,2784.37,-0.558,-26.3,MFE,3.0,1.0,-1.181,17.2,DOWN,0.0,0.0,0.0,-26.3,200.0,1.428581994976113,4.0,2799.9792899999998,3608.0,3611.0,2025-02-05 23:00:00,2799.98,2784.37,-0.558,-26.3,MFE,3.0,1.0,-1.181,17.2,DOWN,0.0,0.0,0.0,-26.3,both
L,200.0,1.4410690146811125,4.0,2775.7171649999996,3658.0,3661.0,2025-02-07 22:00:00,2025-02-08 01:00:00,2775.72,2691.03,-3.051,-126.03,MH,3.0,0.735,-3.101,22.2,DOWN,0.046930332140003764,0.046930332140003764,0.046930332140003764,-125.98306966786,200.0,1.4410690146811125,4.0,2775.7171649999996,3658.0,3662.0,2025-02-08 02:00:00,2775.72,2672.61,-3.715,-152.59,SN,4.0,0.735,-4.166,22.2,DOWN,0.046930332140003764,0.046930332140003764,0.046930332140003764,-152.54306966786,both
L,200.0,1.5125094104317913,4.0,2644.611645,3725.0,3731.0,2025-02-10 17:00:00,2025-02-10 23:00:00,2644.61,2648.16,0.134,1.36,MFE,6.0,1.552,-0.553,24.2,DOWN,0.0,0.0,0.0,1.36,200.0,1.5125094104317913,4.0,2644.611645,3725.0,3731.0,2025-02-10 23:00:00,2644.61,2648.16,0.134,1.36,MFE,6.0,1.552,-0.553,24.2,DOWN,0.0,0.0,0.0,1.36,both
L,200.0,1.4569974487974673,4.0,2745.372,3787.0,3796.0,2025-02-13 07:00:00,2025-02-13 16:00:00,2745.37,2678.79,-2.425,-101.01,MH,9.0,0.406,-2.727,21.2,DOWN,-0.7709508873682693,-0.7709508873682693,-0.38045577211394305,-101.78095088736828,200.0,1.4569974487974673,4.0,2745.372,3787.0,3793.0,2025-02-13 13:00:00,2745.37,2719.32,-0.949,-41.96,MH,6.0,0.406,-1.206,21.2,DOWN,-0.38045577211394305,-0.38045577211394305,-0.38045577211394305,-42.34045577211394,both
L,,,,,,,2025-02-14 10:00:00,,,,,,,,,,,,,,,,200.0,1.490551145688569,4.0,2683.5711149999997,3814.0,3817.0,2025-02-14 13:00:00,2683.57,2697.04,0.502,16.08,MFE,3.0,1.384,-0.182,24.2,DOWN,0.0,0.0,0.0,16.08,right_only
L,,,,,,,2025-02-19 15:00:00,,,,,,,,,,,,,,,,200.0,1.481954117815045,4.0,2699.1388949999996,3939.0,3945.0,2025-02-19 21:00:00,2699.14,2701.97,0.105,0.19,MFE,6.0,1.37,-0.104,21.2,SIDE,-0.29177759189865127,-0.29177759189865127,-0.29177759189865127,-0.10177759189865127,right_only
L,,,,,,,2025-02-20 19:00:00,,,,,,,,,,,,,,,,200.0,1.4568063226035395,4.0,2745.73218,3967.0,3974.0,2025-02-21 02:00:00,2745.73,2732.8,-0.471,-22.84,MH,7.0,0.902,-1.46,0.0,MILD_UP,-0.252952662702886,-0.252952662702886,-0.252952662702886,-23.092952662702885,right_only
L,200.0,1.8259047312295626,4.0,2190.6947999999998,4275.0,4278.0,2025-03-05 15:00:00,2025-03-05 18:00:00,2190.69,2236.91,2.11,80.39,MFE,3.0,3.246,-0.157,1.0,DOWN,-0.28796680417317144,-0.28796680417317144,-0.28796680417317144,80.10203319582683,200.0,1.8259047312295626,4.0,2190.6947999999998,4275.0,4278.0,2025-03-05 18:00:00,2190.69,2236.91,2.11,80.39,MFE,3.0,3.246,-0.157,1.0,DOWN,-0.28796680417317144,-0.28796680417317144,-0.28796680417317144,80.10203319582683,both
L,200.0,1.9274905985441375,4.0,2075.2371,4396.0,4398.0,2025-03-10 16:00:00,2025-03-10 18:00:00,2075.24,2099.93,1.19,43.59,MFE,2.0,3.747,-1.373,19.2,DOWN,0.0,-0.1029584810695173,0.0,43.59,200.0,1.9274905985441375,4.0,2075.2371,4396.0,4398.0,2025-03-10 18:00:00,2075.24,2099.93,1.19,43.59,MFE,2.0,3.747,-1.373,19.2,DOWN,0.0,-0.1029584810695173,0.0,43.59,both
L,200.0,2.0864542287481016,4.0,1917.128085,4422.0,4426.0,2025-03-11 18:00:00,2025-03-11 22:00:00,1917.13,1901.54,-0.813,-36.53,MFE,4.0,2.746,-2.721,10.1,DOWN,0.0,0.0,0.0,-36.53,200.0,2.0864542287481016,4.0,1917.128085,4422.0,4426.0,2025-03-11 22:00:00,1917.13,1901.54,-0.813,-36.53,MFE,4.0,2.746,-2.721,10.1,DOWN,0.0,0.0,0.0,-36.53,both
L,200.0,2.1099746146052905,4.0,1895.7574049999998,4490.0,4500.0,2025-03-14 14:00:00,2025-03-15 00:00:00,1895.76,1920.24,1.291,47.66,MFE,10.0,2.429,-1.2,23.2,DOWN,-0.5311010523522128,-0.5311010523522128,-0.30665211680921806,47.128898947647784,200.0,2.1099746146052905,4.0,1895.7574049999998,4490.0,4497.0,2025-03-14 21:00:00,1895.76,1900.85,0.269,6.74,BE,7.0,0.656,-0.442,23.2,DOWN,-0.30665211680921806,-0.30665211680921806,-0.30665211680921806,6.433347883190782,both
L,200.0,2.026479562619242,4.0,1973.86644,4615.0,4617.0,2025-03-19 19:00:00,2025-03-19 21:00:00,1973.87,2002.11,1.431,53.23,MFE,2.0,2.982,-0.059,20.2,DOWN,0.0,0.0,0.0,53.23,200.0,2.026479562619242,4.0,1973.86644,4615.0,4617.0,2025-03-19 21:00:00,1973.87,2002.11,1.431,53.23,MFE,2.0,2.982,-0.059,20.2,DOWN,0.0,0.0,0.0,53.23,both
L,200.0,2.153167276766615,4.0,1857.7284,4923.0,4927.0,2025-04-01 15:00:00,2025-04-01 19:00:00,1857.73,1871.55,0.744,25.77,MFE,4.0,1.814,-0.337,4.0,DOWN,-0.11481147151888792,-0.11481147151888792,-0.11481147151888792,25.655188528481112,200.0,2.153167276766615,4.0,1857.7284,4923.0,4927.0,2025-04-01 19:00:00,1857.73,1871.55,0.744,25.77,MFE,4.0,1.814,-0.337,4.0,DOWN,-0.11481147151888792,-0.11481147151888792,-0.11481147151888792,25.655188528481112,both
L,200.0,2.2004760906060112,4.0,1817.78844,4996.0,5000.0,2025-04-04 16:00:00,2025-04-04 20:00:00,1817.79,1782.27,-1.954,-82.16,MH,4.0,0.93,-3.315,10.1,DOWN,0.0,0.0,0.08367770035989446,-82.16,200.0,2.2004760906060112,4.0,1817.78844,4996.0,5002.0,2025-04-04 22:00:00,1817.79,1800.43,-0.955,-42.2,MH,6.0,0.93,-3.315,10.1,DOWN,0.0,0.0,0.08367770035989446,-42.2,both
L,200.0,2.546140667868356,4.0,1571.0051099999998,5081.0,5087.0,2025-04-08 05:00:00,2025-04-08 11:00:00,1571.01,1588.16,1.092,39.67,MFE,6.0,2.991,-1.961,15.2,DOWN,0.017312960108703913,0.017312960108703913,0.017312960108703913,39.687312960108706,200.0,2.546140667868356,4.0,1571.0051099999998,5081.0,5087.0,2025-04-08 11:00:00,1571.01,1588.16,1.092,39.67,MFE,6.0,2.991,-1.961,15.2,DOWN,0.017312960108703913,0.017312960108703913,0.017312960108703913,39.687312960108706,both
L,200.0,2.691477215015349,4.0,1486.172715,5119.0,5123.0,2025-04-09 19:00:00,2025-04-09 23:00:00,1486.17,1469.61,-1.114,-48.57,BE,4.0,1.0,-3.172,23.2,DOWN,0.0,0.0,0.0,-48.57,200.0,2.691477215015349,4.0,1486.172715,5119.0,5124.0,2025-04-10 00:00:00,1486.17,1484.06,-0.142,-9.69,MH,5.0,1.0,-3.172,23.2,DOWN,-0.06357179770993171,-0.06357179770993171,0.0,-9.753571797709931,both
L,200.0,2.5760481700914633,4.0,1552.765995,5164.0,5165.0,2025-04-11 16:00:00,2025-04-11 17:00:00,1552.77,1550.01,-0.177,-11.09,MFE,1.0,1.259,-1.049,6.1,DOWN,0.0,0.0,0.23416291854072965,-11.09,200.0,2.5760481700914633,4.0,1552.765995,5164.0,5165.0,2025-04-11 17:00:00,1552.77,1550.01,-0.177,-11.09,MFE,1.0,1.259,-1.049,6.1,DOWN,0.0,0.0,0.23416291854072965,-11.09,both
L,,,,,,,2025-04-14 17:00:00,,,,,,,,,,,,,,,,200.0,2.4414229617666727,4.0,1638.3887849999999,5237.0,5240.0,2025-04-14 20:00:00,1638.39,1673.79,2.161,82.44,MFE,3.0,3.246,-0.475,9.1,DOWN,0.0,0.0,0.0,82.44,right_only
L,,,,,,,2025-04-15 18:00:00,,,,,,,,,,,,,,,,200.0,2.4263984557356877,4.0,1648.533855,5262.0,5267.0,2025-04-15 23:00:00,1648.53,1618.76,-1.806,-76.24,MH,5.0,0.737,-2.943,0.0,DOWN,0.0,0.0,0.0,-76.24,right_only
L,,,,,,,2025-04-17 14:00:00,,,,,,,,,,,,,,,,200.0,2.501424021610753,4.0,1599.089145,5306.0,5312.0,2025-04-17 20:00:00,1599.09,1591.7,-0.462,-22.47,MH,6.0,0.676,-0.713,2.0,DOWN,-0.20760649113154978,-0.20760649113154978,-0.20760649113154978,-22.67760649113155,right_only
L,,,,,,,2025-04-18 20:00:00,,,,,,,,,,,,,,,,200.0,2.514640006227003,4.0,1590.684945,5336.0,5343.0,2025-04-19 03:00:00,1590.68,1591.92,0.078,-0.89,BE,7.0,0.374,-0.825,23.2,SIDE,0.05936734491627592,0.05936734491627592,0.05936734491627592,-0.8306326550837241,right_only
L,,,,,,,2025-04-22 22:00:00,,,,,,,,,,,,,,,,200.0,2.4343765790260368,4.0,1643.1311549999998,5434.0,5436.0,2025-04-23 00:00:00,1643.13,1701.56,3.556,138.23,TP,2.0,5.039,-0.365,22.2,SIDE,-0.33582796731036363,-0.33582796731036363,0.0,137.89417203268962,right_only
L,,,,,,,2025-04-23 06:00:00,,,,,,,,,,,,,,,,200.0,2.2798169529268955,4.0,1754.526825,5442.0,5446.0,2025-04-23 10:00:00,1754.53,1760.46,0.338,9.53,MFE,4.0,1.965,-0.964,24.2,SIDE,-0.2673203658769937,-0.2673203658769937,-0.2673203658769937,9.262679634123005,right_only
L,,,,,,,2025-04-25 09:00:00,,,,,,,,,,,,,,,,200.0,2.2545669346244837,4.0,1774.1766449999998,5493.0,5498.0,2025-04-25 14:00:00,1774.18,1765.74,-0.476,-23.03,MH,5.0,0.885,-2.073,12.1,MILD_UP,0.0,0.0,0.0,-23.03,right_only
L,200.0,2.169054361708035,4.0,1844.1216,5790.0,5797.0,2025-05-07 18:00:00,2025-05-08 01:00:00,1844.12,1809.98,-1.851,-78.05,MH,7.0,0.129,-2.464,2.0,SIDE,0.025534998125937035,0.025534998125937035,0.025534998125937035,-78.02446500187406,200.0,2.169054361708035,4.0,1844.1216,5790.0,5796.0,2025-05-08 00:00:00,1844.12,1815.82,-1.535,-65.38,MH,6.0,0.129,-1.668,2.0,SIDE,0.025534998125937035,0.0,0.025534998125937035,-65.35446500187406,both
