name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
m15_w30,0,True,229,5750.592790516882,5750.592790516885,-6.837209483116238,2.3825508872863947,61.135371179039296,484.5324698302975,-397.6546636940909,66,-3224.4653746832137,3,-167.78402024567558,1427
m15_w60,0,True,145,2449.2782864841083,2449.278286484109,-5.851713515890804,1.8342218121767557,57.931034482758626,352.9205002742235,-316.23061712896106,39,-1908.3200474154826,4,-169.89386723817032,877
m30_w30,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
m30_w60,0,True,192,4202.5743530516565,4202.57435305166,-5.415646948339436,2.160171371037881,58.854166666666664,436.86858243750726,-397.6546636940907,54,-2715.1345275474837,3,-167.78402024567558,1206
base,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
quality,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
m5_w30,2,True,200,3542.0138647320414,3542.01386473204,-4.176135267960167,1.9209665631011534,55.50000000000001,313.1139818303575,-243.29705984769635,66,-2943.4918620838575,3,-167.99400504668492,1263
m5_w60,2,True,74,638.0522265257838,638.0522265257838,1.7522265257837295,1.3188629016924764,55.4054054054054,507.93681538906174,-420.34313216215264,24,-1435.8825715436137,3,-165.69499284810598,479
m15_w30,2,True,229,5505.224331307191,5505.224331307194,-6.725668692806102,2.3174649285421456,59.388646288209614,492.8007199448623,-401.9328619533708,71,-3380.406629669832,3,-167.99400504668492,1432
m15_w60,2,True,143,2163.3994937452553,2163.399493745256,-6.000506254743929,1.7460290966878633,55.24475524475524,354.7310686078297,-325.24084840938565,43,-2026.022233277673,4,-170.09385200857201,881
m30_w30,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
m30_w60,2,True,189,3543.4002743300994,3543.4002743300985,-4.65972566990181,1.974474689192379,56.613756613756614,441.95438500139676,-401.9328619533708,57,-2841.404196878526,3,-167.99400504668492,1191
