fee,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
0.0,5,False,269,8054.69942980711,8054.699429807103,-7.330570192896946,3.066269859903467,63.19702602230484,368.3716378349627,-286.7502925427889,79,-3346.4268057376553,2,-164.31398223679395,1642
4.0,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
3.6,0,True,269,7984.045330758964,7984.045330759002,-8.504669240997945,2.881683495215664,63.94052044609665,383.9191407811559,-321.8853117125964,75,-3590.2799577435007,2,-167.38402024567557,1631
3.5,0,True,271,8047.026645189866,8047.026645189866,-8.083354810134008,2.90123183409842,64.20664206642066,381.46914078115424,-320.1103117125931,75,-3582.0299577435007,2,-167.28402024567558,1647
3.0,0,True,273,8129.434824607448,8129.434824607447,-8.275175392552676,2.910488552866631,64.46886446886447,369.21914078115424,-311.235311712594,76,-3615.64177832592,2,-166.78402024567558,1654
2.0,0,True,277,8383.096091999749,8383.096091999743,-8.613908000257291,2.9713246938075404,64.25992779783394,356.39892330966995,-293.4853117125931,79,-3633.86078398216,2,-165.78402024567558,1683
0.0,0,True,279,9143.393124881746,9143.393124881732,-8.88687511826901,3.2636957033889016,64.87455197132617,336.53124739577197,-257.9853117125931,79,-3460.86078398216,2,-163.78402024567558,1702
4.0,2,True,269,7500.237328066414,7500.237328066414,-8.392671933585234,2.6978383262577337,62.45353159851301,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1633
3.6,2,True,269,7614.637328066387,7614.637328066414,-8.392671933585234,2.7409522700349784,62.825278810408925,423.17637083770296,-350.24862706701515,77,-3731.746206788868,2,-167.5940050466849,1633
3.5,2,True,269,7643.237328066413,7643.237328066415,-8.392671933585234,2.751836867656989,62.825278810408925,420.72637083770405,-348.4736270670164,77,-3723.2962067888684,2,-167.49400504668492,1633
3.0,2,True,269,7786.237328066414,7786.237328066415,-8.392671933585234,2.8068889728313993,63.19702602230484,408.47637083770405,-339.5986270670164,77,-3681.0462067888684,2,-166.99400504668492,1633
2.0,2,True,269,8072.237328066416,8072.237328066414,-8.392671933585234,2.9207767732351337,63.94052044609665,383.97637083770223,-321.8486270670164,77,-3596.5462067888684,2,-165.99400504668492,1633
0.0,2,True,278,8685.519843193439,8685.519843193437,-8.580156806563497,3.083235070463702,64.38848920863309,349.95861676145796,-286.3486270670146,81,-3601.4970192409455,2,-163.99400504668492,1695
4.0,5,True,267,6900.967747016464,6900.967747016459,-7.982252983540695,2.511730329273403,61.42322097378277,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1632
3.6,5,True,267,7014.567747016432,7014.567747016459,-7.982252983540695,2.5518802390409,61.79775280898876,482.0698205508488,-392.8021130713205,78,-3885.029188210171,2,-167.91398223679397,1632
3.5,5,True,267,7042.967747016464,7042.967747016459,-7.982252983540695,2.562033851263653,61.79775280898876,479.6198205508508,-391.0271130713227,78,-3876.4291882101716,2,-167.81398223679395,1632
3.0,5,True,269,7146.7749965084595,7146.774996508455,-8.445003491545096,2.5807036412249538,62.0817843866171,467.3698205508508,-382.1521130713236,79,-3901.6771197833546,2,-167.31398223679395,1642
2.0,5,True,269,7432.77499650846,7432.774996508455,-8.445003491545096,2.685677304336222,62.45353159851301,442.8698205508508,-364.4021130713236,79,-3814.6771197833546,2,-166.31398223679395,1642
0.0,5,True,269,8004.774996508462,8004.774996508455,-8.445003491545096,2.9093383516985996,63.19702602230484,393.8698205508481,-328.90211307131995,79,-3640.677119783355,2,-164.31398223679395,1642
