side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars,rsi_entry,atr_pctile_entry
long,64912.480598999995,2026-02-25 05:40:00+00:00,64912.480598999995,2026-02-25 06:15:00+00:00,breakeven_sl,-0.5456090992542205,True,7,35.58027957952545,14.333553395405845
long,64845.933945,2026-02-25 05:45:00+00:00,65016.728531119814,2026-02-25 06:50:00+00:00,breakeven_sl,4.218799226999287,True,13,41.40408053208115,5.425820110638043
short,65580.301314,2026-02-25 08:55:00+00:00,65580.301314,2026-02-25 09:05:00+00:00,adaptive_trail,-0.5634219224629649,True,2,71.74303632970191,7.828975543131598
short,65709.85835699999,2026-02-25 12:20:00+00:00,65863.66728557143,2026-02-25 12:30:00+00:00,stop_loss,-6.281456707326859,False,2,72.11152722679435,33.934040228382
short,65789.97034500001,2026-02-25 12:25:00+00:00,65957.74855928573,2026-02-25 12:45:00+00:00,stop_loss,-6.700419209976699,False,4,73.3639331724238,46.23756189907716
short,65774.02194,2026-02-25 12:30:00+00:00,65942.27158285715,2026-02-25 12:45:00+00:00,stop_loss,-6.715990717752561,False,3,73.3639331724238,46.23756189907716
short,66007.63857600001,2026-02-25 12:50:00+00:00,66190.65893314287,2026-02-25 13:00:00+00:00,stop_loss,-7.145429622728619,False,2,75.82699874135815,100.0
short,66127.236615,2026-02-25 12:55:00+00:00,66325.01054357144,2026-02-25 13:40:00+00:00,stop_loss,-7.581617823315245,False,9,77.9409666412642,82.23344213246284
short,66648.584475,2026-02-25 13:50:00+00:00,66564.36082006046,2026-02-25 14:15:00+00:00,breakeven_sl,1.903730865550362,True,5,67.44255715835544,77.78895936229607
short,67097.179611,2026-02-25 15:05:00+00:00,67097.179611,2026-02-25 15:30:00+00:00,breakeven_sl,-0.18679436711347996,True,5,66.97863909741528,100.0
short,67508.54847000001,2026-02-25 15:45:00+00:00,67945.49739857143,2026-02-25 16:20:00+00:00,stop_loss,-14.544995514622787,False,7,76.07085381722062,69.23839001053842
short,68005.89873,2026-02-25 16:25:00+00:00,68363.55873,2026-02-25 17:00:00+00:00,stop_loss,-12.118499326654026,False,7,76.61305565806973,62.3769518977908
short,69341.455161,2026-02-25 18:30:00+00:00,69328.06,2026-02-25 19:00:00+00:00,adaptive_trail,0.225865021464702,True,6,68.52556717217038,76.59850330954077
short,69301.079199,2026-02-25 18:35:00+00:00,69301.079199,2026-02-25 19:00:00+00:00,adaptive_trail,-0.15344565796130516,True,5,68.52556717217038,76.59850330954077
short,69440.425263,2026-02-25 18:40:00+00:00,68871.21643564745,2026-02-25 20:25:00+00:00,breakeven_sl,14.608312867012206,True,21,46.92444926243604,35.305903221930066
long,68146.894008,2026-02-25 22:55:00+00:00,68330.34376678489,2026-02-25 23:15:00+00:00,breakeven_sl,4.590118209188507,True,4,43.004115921967774,44.83766217004585
long,67702.639587,2026-02-25 23:45:00+00:00,68072.63385848037,2026-02-26 00:40:00+00:00,breakeven_sl,9.715421075970939,True,11,45.80255981360242,78.98180576804104
long,67890.078329,2026-02-26 07:55:00+00:00,67927.44877959727,2026-02-26 08:10:00+00:00,adaptive_trail,0.4132011204249454,True,3,32.13705391473597,4.311017939702032
long,67831.832505,2026-02-26 08:00:00+00:00,67927.44877959727,2026-02-26 08:10:00+00:00,adaptive_trail,1.9517531970942779,True,2,32.13705391473597,4.311017939702032
long,67368.496176,2026-02-26 14:50:00+00:00,67368.496176,2026-02-26 15:05:00+00:00,breakeven_sl,-0.19504228166205773,True,3,38.82446268254369,100.0
long,66971.926523,2026-02-26 15:20:00+00:00,66971.926523,2026-02-26 15:35:00+00:00,adaptive_trail,0.0548565303051598,True,3,26.297449084393335,100.0
long,66993.73870399999,2026-02-26 15:25:00+00:00,67099.15084292139,2026-02-26 16:30:00+00:00,breakeven_sl,2.8801764508614105,True,13,50.55019053065161,62.48508301219899
short,67748.344488,2026-02-26 19:05:00+00:00,67748.344488,2026-02-26 19:20:00+00:00,breakeven_sl,-0.22495816340042996,True,3,61.72824495406966,48.694947934684734
long,66937.413072,2026-02-27 01:10:00+00:00,67325.35,2026-02-27 02:15:00+00:00,adaptive_trail,10.023866459136737,True,13,53.065518162559066,37.917194256635455
