side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars
long,87940.153136,2025-12-21 13:40:00+00:00,87671.0038502857,2025-12-21 13:45:00+00:00,stop_loss,-7.721192108866276,False,1
long,87385.507677,2025-12-25 08:25:00+00:00,87458.2936508312,2025-12-25 09:30:00+00:00,breakeven_sl,0.8327472612225868,True,13
long,87779.22704499999,2025-12-25 20:30:00+00:00,87939.13000515378,2025-12-25 21:50:00+00:00,breakeven_sl,2.41993431872271,True,16
long,87409.610087,2025-12-25 22:50:00+00:00,87524.90935115387,2025-12-25 22:55:00+00:00,adaptive_trail,1.6845764240875873,True,1
short,88186.850433,2025-12-26 02:15:00+00:00,88372.33079014286,2025-12-26 02:20:00+00:00,stop_loss,-5.80653093362899,False,1
long,88016.230743,2025-12-26 14:50:00+00:00,87764.02610014284,2025-12-26 14:55:00+00:00,stop_loss,-7.330866698747071,False,1
short,87693.2298,2025-12-27 07:25:00+00:00,87581.54610982607,2025-12-27 08:05:00+00:00,breakeven_sl,1.3491737496739629,True,8
short,87855.523569,2025-12-27 22:15:00+00:00,87689.93142857142,2025-12-27 23:15:00+00:00,breakeven_sl,2.2762921239452103,True,12
short,87928.58626200001,2025-12-28 22:55:00+00:00,88017.38519057144,2025-12-28 23:00:00+00:00,stop_loss,-3.6197965723419014,False,1
long,88723.191432,2025-12-29 09:35:00+00:00,88482.1532177143,2025-12-29 09:40:00+00:00,stop_loss,-7.033488367479455,False,1
short,87781.211001,2025-12-30 08:10:00+00:00,87904.12207242858,2025-12-30 08:15:00+00:00,stop_loss,-4.400395893995533,False,1
long,88343.843501,2025-12-31 14:50:00+00:00,88125.046001,2025-12-31 15:10:00+00:00,stop_loss,-6.55331629979454,False,4
short,87991.209999,2026-01-01 01:15:00+00:00,87952.84,2026-01-01 01:20:00+00:00,adaptive_trail,0.03150161672314633,True,1
short,88191.589959,2026-01-01 17:25:00+00:00,88263.39281614286,2026-01-01 17:30:00+00:00,stop_loss,-3.228337966834241,False,1
long,88837.322844,2026-01-02 14:20:00+00:00,88656.45712971428,2026-01-02 14:30:00+00:00,stop_loss,-5.671840719543416,False,2
long,88830.122124,2026-01-02 14:25:00+00:00,88637.53069542856,2026-01-02 14:30:00+00:00,stop_loss,-5.936173900618893,False,1
long,89586.267731,2026-01-03 07:25:00+00:00,89460.785231,2026-01-03 07:30:00+00:00,stop_loss,-4.401378005316252,False,1
long,92563.785453,2026-01-06 16:45:00+00:00,92182.93652442857,2026-01-06 17:40:00+00:00,stop_loss,-9.828897007778714,False,11
short,93706.58840400001,2026-01-06 21:20:00+00:00,93706.58840400001,2026-01-06 21:30:00+00:00,breakeven_sl,0.28223922759982567,True,2
short,93745.604502,2026-01-06 21:35:00+00:00,93281.75153181782,2026-01-06 22:45:00+00:00,breakeven_sl,8.387202842392764,True,14
short,91671.421941,2026-01-09 15:30:00+00:00,91671.421941,2026-01-09 16:10:00+00:00,breakeven_sl,1.3458299937984952,True,8
short,91872.271854,2026-01-09 15:35:00+00:00,91331.4,2026-01-09 16:40:00+00:00,adaptive_trail,10.93212185642427,True,13
long,91354.954582,2026-01-12 08:05:00+00:00,91444.22396127754,2026-01-12 08:30:00+00:00,breakeven_sl,1.427059597671216,True,5
