side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
long,90790.01,2026-01-11 08:55:00+00:00,90918.59,2026-01-11 13:25:00+00:00,atr_trail_1.5,1.2340909187821982,True
long,90754.99,2026-01-11 11:55:00+00:00,90918.59,2026-01-11 13:25:00+00:00,atr_trail_1.5,1.935542705223438,True
long,90717.11,2026-01-11 23:10:00+00:00,90717.11,2026-01-11 23:30:00+00:00,stop_loss,-0.9431763549660931,True
long,92100.12,2026-01-12 04:10:00+00:00,91370.18999999999,2026-01-12 08:00:00+00:00,stop_loss,-17.45079367974781,False
long,92063.09,2026-01-13 08:30:00+00:00,92063.09,2026-01-13 09:40:00+00:00,stop_loss,-0.6867085976428923,True
long,91414.05,2026-01-12 22:10:00+00:00,92076.11,2026-01-13 14:00:00+00:00,atr_trail_1.5,12.725287758594725,True
long,94700.4,2026-01-13 22:05:00+00:00,95604.1,2026-01-13 22:15:00+00:00,atr_trail_1.5,17.146787613508558,True
long,95244.92,2026-01-14 14:00:00+00:00,95868.85285714286,2026-01-14 14:45:00+00:00,atr_trail_1.5,11.265415064356617,True
long,94997.7,2026-01-14 07:30:00+00:00,97097.72,2026-01-14 18:10:00+00:00,atr_trail_1.5,39.577082633128484,True
long,95343.56,2026-01-14 01:05:00+00:00,97040.86,2026-01-14 18:30:00+00:00,atr_trail_1.5,32.103645756761935,True
long,96358.64,2026-01-15 04:20:00+00:00,96358.64,2026-01-15 14:35:00+00:00,stop_loss,-0.1544346175318192,True
long,96985.11,2026-01-15 13:45:00+00:00,96283.78821428571,2026-01-15 14:35:00+00:00,stop_loss,-16.062463067047883,False
long,96917.01,2026-01-15 01:00:00+00:00,95754.75749999999,2026-01-15 14:45:00+00:00,stop_loss,-25.584489410063362,False
long,96737.04,2026-01-15 15:55:00+00:00,95846.46857142857,2026-01-15 18:40:00+00:00,stop_loss,-20.01221167344836,False
long,95551.56,2026-01-17 15:50:00+00:00,95288.37107142857,2026-01-17 16:20:00+00:00,stop_loss,-7.108835827932644,False
long,95378.19,2026-01-17 20:45:00+00:00,95097.84857142858,2026-01-17 22:35:00+00:00,stop_loss,-7.478522722467774,False
long,95378.08,2026-01-18 21:30:00+00:00,95081.05107142858,2026-01-18 23:00:00+00:00,stop_loss,-7.828452671125783,False
long,90037.83,2026-01-22 06:10:00+00:00,89005.22785714286,2026-01-22 15:20:00+00:00,stop_loss,-24.537073069334088,False
long,90190.48,2026-01-21 23:10:00+00:00,88681.92357142856,2026-01-22 15:25:00+00:00,stop_loss,-35.05267546134438,False
