side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,stoch_cross_dn,atr_1.5,fixed_2atr,-65.09,221,39.8,0.96,-337.9,-0.29,0,221,0.0,-65.09
long,vol_spike_up,atr_2.0,fixed_2atr,-86.98,221,44.3,0.96,-685.29,-0.39,221,0,-86.98,0.0
short,stoch_cross_dn,pct_1.5,atr_trail_1.5,-82.44,220,47.7,0.96,-459.71,-0.37,0,220,0.0,-82.44
long,vol_spike_up,atr_1.5,fixed_3atr,-95.86,221,33.0,0.95,-796.38,-0.43,221,0,-95.86,0.0
short,vol_spike_dn,atr_1.5,ema9_trail,-97.19,263,39.5,0.95,-620.44,-0.37,0,263,0.0,-97.19
short,stoch_cross_dn,atr_2.0,fixed_3atr,-96.82,220,37.3,0.95,-378.13,-0.44,0,220,0.0,-96.82
long,rsi30_vol,atr_2.5,fixed_3atr,-30.77,39,48.7,0.95,-423.05,-0.79,39,0,-30.77,0.0
long,vol_spike_up,pct_1.5,atr_trail_2.5,-103.43,215,39.1,0.95,-678.73,-0.48,215,0,-103.43,0.0
short,vol_spike_dn,atr_2.5,fixed_2atr,-130.05,278,48.9,0.95,-561.33,-0.47,0,278,0.0,-130.05
long,ema_macd_up,atr_2.0,fixed_2atr,-25.52,68,42.6,0.95,-161.62,-0.38,68,0,-25.52,0.0
long,ema_macd_up,atr_2.5,atr_trail_2.5,-30.2,68,42.6,0.95,-175.09,-0.44,68,0,-30.2,0.0
long,momentum_up,atr_2.0,atr_trail_1.5,-29.93,54,48.1,0.94,-185.43,-0.55,54,0,-29.93,0.0
long,rsi30_vol,pct_1.5,fixed_3atr,-34.25,39,38.5,0.94,-378.65,-0.88,39,0,-34.25,0.0
long,momentum_up,atr_2.5,fixed_3atr,-32.46,54,42.6,0.94,-247.02,-0.6,54,0,-32.46,0.0
long,stoch_cross_up,atr_2.0,atr_trail_2.5,-132.92,220,41.4,0.94,-633.29,-0.6,220,0,-132.92,0.0
short,bb_upper,atr_2.0,ema9_trail,-129.33,265,48.7,0.94,-368.6,-0.49,0,265,0.0,-129.33
short,bb_upper,atr_2.0,fixed_2atr,-124.96,265,41.1,0.94,-372.98,-0.47,0,265,0.0,-124.96
long,vol_spike_up,atr_2.5,ema9_trail,-114.98,209,40.7,0.94,-718.52,-0.55,209,0,-114.98,0.0
long,vol_spike_up,atr_1.5,atr_trail_2.5,-107.64,218,33.5,0.94,-761.46,-0.49,218,0,-107.64,0.0
long,rsi30_vol,atr_2.5,atr_trail_1.5,-32.66,39,53.8,0.94,-369.39,-0.84,39,0,-32.66,0.0
long,vol_spike_up,pct_1.5,atr_trail_1.5,-145.56,221,48.0,0.93,-663.99,-0.66,221,0,-145.56,0.0
