open,high,low,close,volume,taker_buy_volume,datetime
59719.7,60298.0,59688.9,60150.0,8878.647,4873.4,2026-07-02 09:00:00
60150.0,60467.2,59978.3,60392.5,5419.48,2690.732,2026-07-02 10:00:00
60392.4,61102.5,60259.1,61032.9,12526.353,7121.36,2026-07-02 11:00:00
61032.9,61033.0,60703.1,60757.7,7263.034,2791.261,2026-07-02 12:00:00
60757.7,60852.9,60450.0,60479.9,9042.359,3846.067,2026-07-02 13:00:00
60480.0,60623.5,60232.6,60247.6,8467.548,3651.611,2026-07-02 14:00:00
60247.6,60288.0,60080.9,60125.8,9344.837,4321.92,2026-07-02 15:00:00
60125.8,60542.2,60113.5,60486.8,6198.207,3666.823,2026-07-02 16:00:00
60486.7,61447.0,60342.5,61159.6,25607.036,14587.916,2026-07-02 17:00:00
61159.6,61330.0,61019.8,61238.5,9252.747,4019.327,2026-07-02 18:00:00
61238.4,61367.3,61100.0,61329.1,12681.094,5781.462,2026-07-02 19:00:00
61329.1,61591.1,61109.9,61507.4,18071.778,9126.245,2026-07-02 20:00:00
61507.3,62077.3,61472.0,61913.5,25674.18,13870.115,2026-07-02 21:00:00
61913.6,62180.0,61368.8,61669.8,18344.228,9049.473,2026-07-02 22:00:00
61669.7,61844.4,61400.0,61584.0,7696.828,3775.389,2026-07-02 23:00:00
61584.0,61754.9,61113.8,61646.8,13879.115,6435.153,2026-07-03 00:00:00
61646.8,61900.0,61592.8,61643.0,6139.152,3472.865,2026-07-03 01:00:00
61643.0,61847.2,61633.7,61733.5,3075.802,1579.753,2026-07-03 02:00:00
61733.5,61739.7,61388.1,61452.5,5108.61,2249.807,2026-07-03 03:00:00
61452.4,61576.8,61308.3,61555.4,4121.371,2214.592,2026-07-03 04:00:00
61555.3,61634.3,61500.0,61570.6,1957.081,917.164,2026-07-03 05:00:00
61570.5,61570.6,61388.0,61445.0,3574.01,931.132,2026-07-03 06:00:00
61444.9,61588.2,61333.0,61540.6,2617.247,1463.332,2026-07-03 07:00:00
61540.5,61558.8,61229.0,61283.9,3597.556,1773.623,2026-07-03 08:00:00
61283.9,61727.2,61261.0,61566.5,4451.238,2358.112,2026-07-03 09:00:00
61566.6,61647.0,61271.0,61411.8,3999.381,2075.143,2026-07-03 10:00:00
61411.9,61558.0,61300.0,61407.6,3005.736,1583.192,2026-07-03 11:00:00
61407.5,61504.6,61300.4,61420.5,2696.433,1469.233,2026-07-03 12:00:00
61420.5,61788.0,61403.1,61674.8,4765.665,2474.722,2026-07-03 13:00:00
61674.7,61825.1,61584.0,61680.5,3450.463,1732.935,2026-07-03 14:00:00
61680.6,61849.7,61634.1,61733.6,3348.266,1532.016,2026-07-03 15:00:00
61733.7,61875.3,61525.9,61553.5,4222.917,1968.61,2026-07-03 16:00:00
61553.6,61760.7,61480.7,61686.8,3311.924,1770.734,2026-07-03 17:00:00
61686.9,62017.7,61640.2,61886.6,5642.212,3264.838,2026-07-03 18:00:00
61886.5,62078.6,61808.1,61992.8,5889.006,3101.796,2026-07-03 19:00:00
61992.8,62149.3,61841.0,61952.5,8242.179,4628.977,2026-07-03 20:00:00
61952.6,62271.9,61910.5,62083.8,5936.24,3053.051,2026-07-03 21:00:00
62083.9,62257.0,61653.0,62142.9,8788.007,4262.362,2026-07-03 22:00:00
62142.9,62386.7,61778.1,61895.2,13581.616,6667.154,2026-07-03 23:00:00
61895.2,62103.5,61877.6,62081.9,4059.255,2417.71,2026-07-04 00:00:00
62081.9,62266.8,62036.0,62171.5,4094.585,2023.744,2026-07-04 01:00:00
62171.5,62223.7,62087.4,62180.2,2583.154,1267.192,2026-07-04 02:00:00
62180.3,62292.4,62120.1,62178.4,3755.875,1894.723,2026-07-04 03:00:00
62178.4,62898.0,62151.2,62759.3,21132.14,12218.122,2026-07-04 04:00:00
62759.3,62957.2,62488.8,62706.8,7035.75,3605.397,2026-07-04 05:00:00
62706.9,62726.0,62513.0,62549.3,2682.334,1181.594,2026-07-04 06:00:00
62549.3,62688.0,62507.1,62565.5,2226.562,1212.37,2026-07-04 07:00:00
62565.5,62925.7,62560.5,62735.1,5338.885,3110.38,2026-07-04 08:00:00
62735.0,62735.1,62381.6,62450.0,5177.732,2165.762,2026-07-04 09:00:00
62450.0,62556.5,62404.0,62514.0,1900.751,980.494,2026-07-04 10:00:00
62514.1,62734.7,62460.0,62609.6,2757.48,1518.467,2026-07-04 11:00:00
62609.6,62735.2,62568.8,62661.5,1944.821,1029.315,2026-07-04 12:00:00
62661.6,62661.6,62395.7,62445.6,2620.858,865.127,2026-07-04 13:00:00
62445.7,62538.6,62302.6,62473.2,2993.905,1400.737,2026-07-04 14:00:00
62473.1,62612.6,62441.8,62549.0,2131.436,1233.89,2026-07-04 15:00:00
62549.1,62654.1,62485.1,62528.0,2712.962,1367.097,2026-07-04 16:00:00
62527.9,62559.3,62386.1,62466.0,1929.56,904.154,2026-07-04 17:00:00
62466.0,62518.8,62418.3,62483.9,1203.457,520.332,2026-07-04 18:00:00
62483.8,62545.4,62430.1,62458.7,1559.204,823.494,2026-07-04 19:00:00
62458.6,62671.5,62458.6,62634.1,1790.061,1077.268,2026-07-04 20:00:00
62634.0,62755.5,62509.4,62563.0,2399.918,1187.166,2026-07-04 21:00:00
62562.9,62719.3,62562.4,62671.9,1875.0,1045.462,2026-07-04 22:00:00
62671.8,63069.6,62666.7,62908.8,9460.185,5827.528,2026-07-04 23:00:00
62908.7,62943.0,62752.9,62895.2,2956.899,1481.369,2026-07-05 00:00:00
62895.2,63420.0,62769.8,63245.6,10022.122,5913.221,2026-07-05 01:00:00
