case,family,n,pnl,delta,wr,mdd,mh_n,mh_pnl,d_discover,d_validate,d_holdout,folds_better,worst_fold_delta
STALL_S_N4_P-0.005_M0.005_G0,stalled_underwater,278,7294.93,-757.04,61.15,336.27,84,-3865.87,-92.24,-451.4,-213.4,2,-412.53
STALL_S_N4_P-0.005_M0.005_G1,stalled_underwater,278,7430.47,-621.5,61.15,332.96,84,-3730.33,-75.66,-384.37,-161.47,3,-386.3
STALL_S_N4_P-0.005_M0.005_G2,stalled_underwater,277,7573.53,-478.44,62.09,334.53,82,-3824.2,10.82,-464.55,-24.71,1,-383.71
STALL_S_N4_P-0.005_M0.010_G0,stalled_underwater,279,6510.47,-1541.5,58.06,367.72,95,-4372.02,-542.15,-523.57,-475.78,0,-565.22
STALL_S_N4_P-0.005_M0.010_G1,stalled_underwater,278,6920.22,-1131.75,58.99,335.41,91,-3969.54,-393.07,-415.63,-323.05,0,-538.99
STALL_S_N4_P-0.005_M0.010_G2,stalled_underwater,277,7093.01,-958.96,59.93,336.98,89,-4099.42,-297.71,-504.29,-156.96,0,-584.89
STALL_S_N4_P-0.005_M0.990_G0,stalled_underwater,278,6285.02,-1766.95,57.19,360.0,97,-4381.07,-563.84,-618.77,-584.34,0,-668.14
STALL_S_N4_P-0.005_M0.990_G1,stalled_underwater,278,6978.68,-1073.29,58.99,327.69,91,-3911.08,-414.76,-345.16,-313.37,1,-476.24
STALL_S_N4_P-0.005_M0.990_G2,stalled_underwater,277,7175.77,-876.2,59.93,329.26,89,-4016.66,-295.1,-433.82,-147.28,1,-522.14
STALL_S_N4_P-0.010_M0.005_G0,stalled_underwater,278,7424.47,-627.5,62.23,336.27,81,-3838.1,-33.99,-369.72,-223.79,2,-311.45
STALL_S_N4_P-0.010_M0.005_G1,stalled_underwater,279,7628.44,-423.53,62.72,330.1,80,-3718.4,-2.66,-245.54,-175.33,2,-226.97
STALL_S_N4_P-0.010_M0.005_G2,stalled_underwater,278,7727.13,-324.84,62.95,330.1,80,-3784.32,-16.48,-301.46,-6.9,1,-225.05
STALL_S_N4_P-0.010_M0.010_G0,stalled_underwater,278,6818.81,-1233.16,60.43,341.92,88,-4446.04,-456.87,-475.64,-300.65,1,-524.67
STALL_S_N4_P-0.010_M0.010_G1,stalled_underwater,279,7139.94,-912.03,61.29,332.55,85,-4140.41,-262.37,-351.46,-298.2,1,-440.19
STALL_S_N4_P-0.010_M0.010_G2,stalled_underwater,278,7378.06,-673.91,61.87,332.55,84,-4110.67,-256.0,-414.03,-3.88,2,-438.27
STALL_S_N4_P-0.010_M0.990_G0,stalled_underwater,278,6855.39,-1196.58,60.43,337.99,88,-4409.46,-452.43,-432.31,-311.84,1,-481.34
STALL_S_N4_P-0.010_M0.990_G1,stalled_underwater,279,7176.52,-875.45,61.29,332.55,85,-4103.83,-257.93,-308.13,-309.39,2,-396.86
STALL_S_N4_P-0.010_M0.990_G2,stalled_underwater,278,7414.64,-637.33,61.87,332.55,84,-4074.09,-251.56,-370.7,-15.07,2,-394.94
STALL_S_N5_P+0.000_M0.005_G0,stalled_underwater,278,7421.15,-630.82,60.07,316.29,87,-3606.19,-88.49,-442.59,-99.74,2,-454.95
STALL_S_N5_P+0.000_M0.005_G1,stalled_underwater,277,7543.51,-508.46,61.73,346.47,83,-3846.6,10.82,-464.55,-54.73,1,-383.71
STALL_S_N5_P+0.000_M0.005_G2,stalled_underwater,278,7584.16,-467.81,61.87,334.33,82,-3841.77,-32.83,-417.18,-17.8,1,-308.93
STALL_S_N5_P+0.000_M0.010_G0,stalled_underwater,279,6615.22,-1436.75,55.91,332.46,101,-3829.16,-491.96,-689.97,-254.82,1,-723.31
STALL_S_N5_P+0.000_M0.010_G1,stalled_underwater,277,7158.71,-893.26,58.48,341.01,93,-3912.07,-306.36,-430.01,-156.89,2,-584.89
STALL_S_N5_P+0.000_M0.010_G2,stalled_underwater,278,7162.27,-889.7,58.99,338.26,91,-4004.49,-262.58,-457.52,-169.6,0,-485.22
STALL_S_N5_P+0.000_M0.990_G0,stalled_underwater,278,6553.82,-1498.15,55.04,304.25,104,-3681.65,-471.74,-686.57,-339.84,1,-748.12
STALL_S_N5_P+0.000_M0.990_G1,stalled_underwater,276,7037.47,-1014.5,57.25,317.3,97,-3729.65,-250.64,-571.29,-192.57,2,-754.38
STALL_S_N5_P+0.000_M0.990_G2,stalled_underwater,278,7163.66,-888.31,58.63,329.06,92,-3908.35,-230.32,-561.46,-96.53,1,-596.88
STALL_S_N5_P-0.005_M0.005_G0,stalled_underwater,278,7430.47,-621.5,61.15,332.96,84,-3730.33,-75.66,-384.37,-161.47,3,-386.3
STALL_S_N5_P-0.005_M0.005_G1,stalled_underwater,277,7573.53,-478.44,62.09,334.53,82,-3824.2,10.82,-464.55,-24.71,1,-383.71
