side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2025-10-10 07:00:00,2025-10-10 19:00:00,4375.85,4341.42,-35.47274243861219,MH,2025-10
S,2025-10-11 04:00:00,2025-10-11 16:00:00,3994.99,3812.89,178.32836627876407,MH,2025-10
L,2025-10-12 15:00:00,2025-10-13 03:00:00,3830.54,4133.11,311.955452756008,MH,2025-10
L,2025-10-14 05:00:00,2025-10-14 11:00:00,4285.03,4135.0539499999995,-144.00000000000023,SL,2025-10
S,2025-10-14 12:00:00,2025-10-15 00:00:00,4151.29,4094.23,50.980500037337734,MH,2025-10
S,2025-10-15 23:00:00,2025-10-16 11:00:00,4007.87,4012.92,-9.040083635447438,MH,2025-10
S,2025-10-17 05:00:00,2025-10-17 17:00:00,3849.67,3722.3,128.34381128772065,MH,2025-10
L,2025-10-18 05:00:00,2025-10-18 17:00:00,3855.95,3876.39,17.203594444948774,MH,2025-10
S,2025-10-22 08:00:00,2025-10-22 20:00:00,3871.11,3844.79,23.19633386806385,MH,2025-10
L,2025-10-23 15:00:00,2025-10-24 03:00:00,3889.78,3857.69,-36.999295589982104,MH,2025-10
L,2025-10-24 11:00:00,2025-10-24 23:00:00,3887.39,3887.09,-4.308690406673606,MH,2025-10
L,2025-10-26 17:00:00,2025-10-27 05:00:00,3958.31,4079.08,118.04198256326562,MH,2025-10
S,2025-10-30 22:00:00,2025-10-31 10:00:00,3764.65,3820.05,-62.86337375320424,MH,2025-10
L,2025-10-31 10:00:00,2025-10-31 22:00:00,3845.48,3865.97,17.313334096133417,MH,2025-10
S,2025-11-07 20:00:00,2025-11-08 01:00:00,3258.61,3372.66135,-143.99999999999966,SL,2025-11
L,2025-11-08 05:00:00,2025-11-08 17:00:00,3463.14,3438.32,-32.66762533423392,MH,2025-11
S,2025-11-12 05:00:00,2025-11-12 17:00:00,3437.4,3482.07,-55.981148542503135,MH,2025-11
L,2025-11-12 22:00:00,2025-11-12 23:00:00,3575.42,3450.2803,-144.0000000000002,SL,2025-11
S,2025-11-14 02:00:00,2025-11-14 14:00:00,3254.4,3221.05,36.990658800393206,MH,2025-11
L,2025-11-23 11:00:00,2025-11-23 23:00:00,2819.71,2835.01,17.704359668193085,MH,2025-11
L,2025-12-02 23:00:00,2025-12-03 11:00:00,2893.69,3029.08,183.1520446212274,MH,2025-12
L,2025-12-04 06:00:00,2025-12-04 18:00:00,3163.08,3187.28,26.60308307093121,MH,2025-12
