side,entry_bar,exit_bar,entry_price,exit_price,pnl,reason,entry_dt,exit_dt,month
L,5540,5564,3781.44,3890.78,111.6596428873658,MH,2024-12-04 23:00:00,2024-12-05 23:00:00,2024-12
L,5831,5855,4033.64,3929.56,-107.21198718775095,MH,2024-12-17 02:00:00,2024-12-18 02:00:00,2024-12
S,5905,5929,3438.98,3438.92,-3.9302118651461244,MH,2024-12-20 04:00:00,2024-12-21 04:00:00,2024-12
L,6261,6285,3564.32,3621.0,59.60820577276994,MH,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01
L,6323,6347,3679.63,3671.51,-12.826974451235467,MH,2025-01-06 14:00:00,2025-01-07 14:00:00,2025-01
S,6383,6407,3262.11,3259.18,-0.4072333550980307,MH,2025-01-09 02:00:00,2025-01-10 02:00:00,2025-01
S,6495,6519,3155.0,3233.88,-104.00633914421567,MH,2025-01-13 18:00:00,2025-01-14 18:00:00,2025-01
S,6827,6851,3139.76,3193.38,-72.31095370346763,MH,2025-01-27 14:00:00,2025-01-28 14:00:00,2025-01
S,6982,7006,3014.71,2705.14,406.7459755664726,MH,2025-02-03 01:00:00,2025-02-04 01:00:00,2025-02
L,7340,7341,2825.54,2726.6461,-144.00000000000003,SL,2025-02-17 23:00:00,2025-02-18 00:00:00,2025-02
S,7516,7540,2506.66,2494.45,15.484094372591475,MH,2025-02-25 07:00:00,2025-02-26 07:00:00,2025-02
S,7687,7699,2055.65,2127.59775,-143.99999999999963,SL,2025-03-04 10:00:00,2025-03-04 22:00:00,2025-03
S,7847,7871,1916.68,1951.9,-77.50209737671396,MH,2025-03-11 02:00:00,2025-03-12 02:00:00,2025-03
L,8174,8198,2089.51,2069.11,-43.05221798412085,MH,2025-03-24 17:00:00,2025-03-25 17:00:00,2025-03
S,8297,8321,1843.72,1833.15,18.931898552925468,MH,2025-03-29 20:00:00,2025-03-30 20:00:00,2025-03
S,8418,8428,1758.57,1820.1199499999998,-143.99999999999966,SL,2025-04-03 21:00:00,2025-04-04 07:00:00,2025-04
S,8494,8518,1730.24,1565.28,377.35749953763644,MH,2025-04-07 01:00:00,2025-04-08 01:00:00,2025-04
