side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
S,2024-05-25 09:00:00,2024-05-25 21:00:00,3713.39,3736.2,-28.57054066499877,MH,2024-05
L,2024-05-27 23:00:00,2024-05-28 11:00:00,3945.85,3852.32,-98.81353827438929,MH,2024-05
S,2024-05-29 01:00:00,2024-05-29 13:00:00,3828.74,3869.88,-46.980197140574006,MH,2024-05
S,2024-05-29 17:00:00,2024-05-30 05:00:00,3803.45,3780.48,20.15701534133463,MH,2024-05
L,2024-05-31 20:00:00,2024-06-01 08:00:00,3805.47,3766.49,-44.9725999679409,MH,2024-06
L,2024-06-01 13:00:00,2024-06-02 01:00:00,3786.8,3809.62,20.104785042779874,MH,2024-06
S,2024-06-02 18:00:00,2024-06-03 06:00:00,3782.78,3784.24,-5.543838129629089,MH,2024-06
L,2024-06-06 04:00:00,2024-06-06 16:00:00,3880.01,3848.76,-36.216411813371614,MH,2024-06
S,2024-06-08 03:00:00,2024-06-08 15:00:00,3681.0,3710.26,-35.79570768812846,MH,2024-06
L,2024-06-09 15:00:00,2024-06-10 03:00:00,3687.86,3702.72,12.11774850455242,MH,2024-06
L,2024-06-10 03:00:00,2024-06-10 15:00:00,3706.42,3649.16,-65.79547919555822,MH,2024-06
L,2024-06-12 18:00:00,2024-06-13 06:00:00,3539.09,3571.97,33.16209534089232,MH,2024-06
S,2024-06-13 10:00:00,2024-06-13 22:00:00,3539.34,3506.64,32.95604265202017,MH,2024-06
L,2024-06-14 14:00:00,2024-06-15 00:00:00,3521.74,3398.4790999999996,-144.00000000000026,SL,2024-06
S,2024-06-15 01:00:00,2024-06-15 05:00:00,3402.17,3521.24595,-143.99999999999991,SL,2024-06
L,2024-06-15 15:00:00,2024-06-16 03:00:00,3539.36,3557.9,16.952940644636275,MH,2024-06
S,2024-06-17 14:00:00,2024-06-18 02:00:00,3573.01,3559.41,11.225258255644807,MH,2024-06
L,2024-06-19 09:00:00,2024-06-19 21:00:00,3492.0,3538.53,49.29896907216518,MH,2024-06
L,2024-06-20 16:00:00,2024-06-21 04:00:00,3606.02,3524.47,-94.4598421528446,MH,2024-06
L,2024-06-23 12:00:00,2024-06-24 00:00:00,3517.24,3461.51,-67.37924054087816,MH,2024-06
S,2024-06-28 16:00:00,2024-06-29 04:00:00,3431.27,3389.96,44.157096352079485,MH,2024-06
S,2024-07-02 07:00:00,2024-07-02 19:00:00,3442.22,3452.13,-15.515824090267687,MH,2024-07
S,2024-07-03 19:00:00,2024-07-04 07:00:00,3312.69,3294.75,17.66215371797549,MH,2024-07
L,2024-07-04 09:00:00,2024-07-04 10:00:00,3306.25,3190.53125,-144.0,SL,2024-07
S,2024-07-04 17:00:00,2024-07-05 05:00:00,3167.74,3161.99,3.2606969006294717,MH,2024-07
S,2024-07-05 11:00:00,2024-07-05 23:00:00,2926.66,2989.98,-90.54233836523568,MH,2024-07
L,2024-07-07 01:00:00,2024-07-07 13:00:00,3049.67,3029.15,-30.914387458315137,MH,2024-07
S,2024-07-08 09:00:00,2024-07-08 16:00:00,2886.11,2987.12385,-143.99999999999974,SL,2024-07
S,2024-07-08 23:00:00,2024-07-09 11:00:00,2980.6,3062.99,-114.56834194457474,MH,2024-07
S,2024-07-09 23:00:00,2024-07-10 11:00:00,3044.06,3078.31,-49.005683199411315,MH,2024-07
L,2024-07-11 16:00:00,2024-07-12 04:00:00,3117.0,3114.75,-6.887391722810395,MH,2024-07
L,2024-07-14 07:00:00,2024-07-14 19:00:00,3190.98,3201.59,9.299989344966283,MH,2024-07
S,2024-07-14 22:00:00,2024-07-15 09:00:00,3182.57,3293.95995,-143.99999999999972,SL,2024-07
L,2024-07-15 15:00:00,2024-07-16 03:00:00,3347.11,3404.4,64.46503401441836,MH,2024-07
L,2024-07-16 07:00:00,2024-07-16 16:00:00,3471.49,3349.9878499999995,-144.0000000000003,SL,2024-07
L,2024-07-20 04:00:00,2024-07-20 16:00:00,3520.9,3484.47,-45.38714533215972,MH,2024-07
S,2024-07-20 17:00:00,2024-07-21 05:00:00,3484.46,3513.69,-37.55469714102043,MH,2024-07
S,2024-07-21 14:00:00,2024-07-22 02:00:00,3499.66,3462.2,38.815587799957754,MH,2024-07
L,2024-07-22 07:00:00,2024-07-22 19:00:00,3532.42,3498.6,-42.2966917863676,MH,2024-07
L,2024-07-23 04:00:00,2024-07-23 16:00:00,3497.37,3519.99,21.87086868132327,MH,2024-07
S,2024-07-23 22:00:00,2024-07-24 10:00:00,3438.57,3448.33,-15.353556856483669,MH,2024-07
L,2024-07-24 19:00:00,2024-07-25 05:00:00,3468.34,3346.9481,-144.00000000000009,SL,2024-07
S,2024-07-25 06:00:00,2024-07-25 18:00:00,3335.0,3168.05,196.2398800599698,MH,2024-07
L,2024-07-26 11:00:00,2024-07-26 23:00:00,3243.14,3253.84,9.197086773929307,MH,2024-07
L,2024-07-27 16:00:00,2024-07-28 04:00:00,3270.41,3241.23,-39.68971474524581,MH,2024-07
L,2024-07-28 20:00:00,2024-07-29 08:00:00,3255.0,3285.13,33.0261136712751,MH,2024-07
L,2024-07-29 11:00:00,2024-07-29 23:00:00,3329.78,3306.88,-31.50932494038656,MH,2024-07
