side,entry_bar,exit_bar,entry_price,exit_price,pnl,reason,entry_dt,exit_dt,month
L,3014,3038,4798.29,4752.36,-42.28864032811713,MH,2025-08-23 02:00:00,2025-08-24 02:00:00,2025-08
L,3062,3064,4903.28,4731.6651999999995,-144.00000000000023,SL,2025-08-25 02:00:00,2025-08-25 04:00:00,2025-08
S,3376,3400,4253.95,4298.3,-45.702417752912346,MH,2025-09-07 04:00:00,2025-09-08 04:00:00,2025-09
L,3501,3525,4510.82,4698.32,162.26688717350726,MH,2025-09-12 09:00:00,2025-09-13 09:00:00,2025-09
S,3741,3765,4333.44,4162.23,154.0361098803722,MH,2025-09-22 09:00:00,2025-09-23 09:00:00,2025-09
L,4007,4031,4508.0,4484.48,-24.869565217391692,MH,2025-10-03 11:00:00,2025-10-04 11:00:00,2025-10
L,4090,4114,4636.81,4591.68,-42.931938121251555,MH,2025-10-06 22:00:00,2025-10-07 22:00:00,2025-10
S,4192,4216,3994.99,3693.73,297.6378013461859,MH,2025-10-11 04:00:00,2025-10-12 04:00:00,2025-10
L,4579,4603,4158.55,4118.47,-42.55189909944565,MH,2025-10-27 07:00:00,2025-10-28 07:00:00,2025-10
S,4672,4676,3685.25,3814.23375,-143.99999999999986,SL,2025-10-31 04:00:00,2025-10-31 08:00:00,2025-10
S,4759,4783,3674.55,3527.78,155.76922344232622,MH,2025-11-03 19:00:00,2025-11-04 19:00:00,2025-11
S,5077,5087,3059.6,3166.6859999999997,-143.99999999999972,SL,2025-11-17 01:00:00,2025-11-17 11:00:00,2025-11
S,5436,5457,2745.01,2841.08535,-143.99999999999943,SL,2025-12-02 00:00:00,2025-12-02 21:00:00,2025-12
L,5486,5510,3126.39,3139.7,13.029225400541769,MH,2025-12-04 02:00:00,2025-12-05 02:00:00,2025-12
L,5628,5652,3244.92,3349.99,125.51937181810302,MH,2025-12-10 00:00:00,2025-12-11 00:00:00,2025-12
S,5773,5797,2987.48,2918.17,88.8006212593891,MH,2025-12-16 01:00:00,2025-12-17 01:00:00,2025-12
L,6203,6227,3081.3,3099.92,20.171615876415654,MH,2026-01-02 23:00:00,2026-01-03 23:00:00,2026-01
L,6261,6285,3167.26,3216.96,58.76718677973998,MH,2026-01-05 09:00:00,2026-01-06 09:00:00,2026-01
L,6475,6499,3330.21,3353.27,23.697952981944017,MH,2026-01-14 07:00:00,2026-01-15 07:00:00,2026-01
S,6635,6659,3046.16,3001.22,55.01200199595564,MH,2026-01-20 23:00:00,2026-01-21 23:00:00,2026-01
S,6759,6779,2846.01,2945.62035,-143.9999999999999,SL,2026-01-26 03:00:00,2026-01-26 23:00:00,2026-01
S,6938,6941,2196.7,2273.5844999999995,-143.9999999999994,SL,2026-02-02 14:00:00,2026-02-02 17:00:00,2026-02
S,7438,7446,1854.93,1919.8525499999998,-143.9999999999995,SL,2026-02-23 10:00:00,2026-02-23 18:00:00,2026-02
L,7501,7525,2045.53,1987.45,-117.57447703040273,MH,2026-02-26 01:00:00,2026-02-27 01:00:00,2026-02
L,7671,7691,2161.99,2086.3203499999995,-144.0000000000005,SL,2026-03-05 03:00:00,2026-03-05 23:00:00,2026-03
L,7944,7968,2235.14,2310.27,130.45242803582795,MH,2026-03-16 12:00:00,2026-03-17 12:00:00,2026-03
S,8106,8119,2044.83,2116.39905,-144.0000000000001,SL,2026-03-23 06:00:00,2026-03-23 19:00:00,2026-03
L,8491,8515,2219.2,2188.87,-58.6683489545781,MH,2026-04-08 07:00:00,2026-04-09 07:00:00,2026-04
L,8635,8659,2351.97,2321.17,-56.381620513866636,MH,2026-04-14 07:00:00,2026-04-15 07:00:00,2026-04
